Title,id,会場(投稿),開催年度,多言語対応の有無,多言語対応（例）ウェブサイトの多言語化,バリアフリー対応の有無,バリアフリー対応策（例）,組織委員会の認証の有無,画像等データの有無,決算額_year,決算額_price
"Ⅰ.YEBIZOナイツ | Side A：マルチプル／アナログ",349,"恵比寿ガーデンプレイス - ザ・ガーデンホール/ルーム",2016,有り,英語,有り,バリアフリー対応施設,なし,あり・チラシ画像,2016,
"Ⅱ. YEBIZOナイツ｜ Side B：マルチプル／キカイ",350,"恵比寿ガーデンプレイス - ザ・ガーデンホール/ルーム",2016,有り,英語,有り,バリアフリー対応施設,なし,あり・チラシ画像,2016,
"【総合開館20周年記念事業 第９回恵比寿映像祭】笹本晃《デリケート・サイクル》",351,,2016,有り,英語,有り,バリアフリー対応施設,なし,あり・チラシ画像,2016,１
"シンポジウム ［日仏会館 共催企画］ シネマトグラフ日本伝来 ――稲畑勝太郎とリュミ エール",352,"日仏会館 - ホール（日仏会館ホール）",2016,有り,英語,無し,バリアフリー対応施設,なし,あり・チラシ画像,2016,
"A.「マルチプルな未来」へ Part 1：芸術とスペキュラティヴ・コモンズ",353,"東京都写真美術館 - 1F ホール",2016,有り,英語,有り,バリアフリー対応施設,なし,,2016,
"B.「マルチプルな未来」へ Part 2：マージナルな映像アーカイヴィングの可能性",354,"東京都写真美術館 - 1F ホール",2016,有り,英語,有り,バリアフリー対応施設,なし,,2016,
"C.イヴォンヌ・レイナーをめぐって ――ポストモダンダンスと映像の間",355,"東京都写真美術館 - 1F ホール",2016,有り,英語,有り,バリアフリー対応施設,なし,,2016,
"D.スーザン・ソンタグ ――その思考と生き方に学ぶ",356,"東京都写真美術館 - 1F スタジオ",2016,有り,英語,有り,バリアフリー対応施設,なし,なし,2016,
地域連携プログラム,357,"日仏会館 - ホール（日仏会館ホール）|恵比寿ガーデンプレイス - YEBISU GARDEN CINEMA|伊東建築塾|MA2 Gallery|Gallery 工房 親|MuCuL studio|NADiff a/p/a/r/t|G/P gallery|MEM|statements|WAITINGROOM|アーツイニシアティヴトウキョウ（AIT）|AL（TRAUMARIS）|LIBRAIRIE6",2016,無し,英語,無し,バリアフリー対応施設,なし,なし,2016,
"「YEBIZO MEETS」Ⅱ 地域発信トーク：伊東建築塾",358,"恵比寿ガーデンプレイス - COMMON EBISU",2016,有り,英語,無し,バリアフリー対応施設,なし,,2016,
"「YEBIZO MEETS」Ⅲ リンクセッション：オーストリア大使館・オーストリア文化フォーラム",359,"恵比寿ガーデンプレイス - COMMON EBISU",2016,有り,英語,無し,バリアフリー対応施設,なし,,2016,
"「YEBIZO MEETS」Ⅳ 地域連携発信 特別イヴェント 「ダンス保育園！！」",360,"恵比寿ガーデンプレイス - COMMON EBISU",2016,有り,英語,無し,バリアフリー対応施設,なし,,2016,
地域連携プログラム※削除,361,,2016,無し,,無し,,なし,なし,2016,
【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】アール・デコの花弁　旧朝香宮邸の室内空間sample,368,,2016,有り,英語,有り,バリアフリー対応施設,なし,あり・チラシ画像,2016,
【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】ギャラリートークsample,370,,2016,無し,英語,有り,バリアフリー対応施設,なし,なし,2016,
【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】トークイベント「昭和の美術タイルと旧朝香宮邸」sample,372,,2016,無し,英語,有り,バリアフリー対応施設,なし,なし,2016,
【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】トークイベント「ディテールのアール・デコ　旧朝香宮邸の室内空間」sample,373,,2016,無し,英語,有り,バリアフリー対応施設,なし,なし,2016,
尺八（9月24日）,375,"東京都江戸東京博物館 - 5F 常設展示室 中村座前",2016,無し,,有り,バリアフリー対応施設,なし,なし,2016,
奇術・落語（9月25日）,376,"東京都江戸東京博物館 - 5F 常設展示室 中村座前",2016,無し,,有り,バリアフリー対応施設,なし,なし,2016,
筝・尺八（10月1日）,377,"東京都江戸東京博物館 - 5F 常設展示室 中村座前",2016,無し,,有り,バリアフリー対応施設,なし,なし,2016,
太神楽・落語（10月2日）,378,"東京都江戸東京博物館 - 5F 常設展示室 中村座前",2016,無し,,有り,バリアフリー対応施設,なし,なし,2016,
尺八・津軽三味線（10月8日）,379,"東京都江戸東京博物館 - 5F 常設展示室 中村座前",2016,無し,,有り,バリアフリー対応施設,なし,なし,2016,
紙切り・落語（10月9日）,380,"東京都江戸東京博物館 - 5F 常設展示室 中村座前",2016,無し,,有り,バリアフリー対応施設,なし,なし,2016,
津軽三味線（10月10日）,381,"東京都江戸東京博物館 - 5F 常設展示室 中村座前",2016,無し,,有り,バリアフリー対応施設,なし,なし,2016,
津軽三味線（10月15日）,382,"東京都江戸東京博物館 - 5F 常設展示室 中村座前",2016,無し,,有り,バリアフリー対応施設,なし,なし,2016,
奇術・落語（10月16日）,383,"東京都江戸東京博物館 - 5F 常設展示室 中村座前",2016,無し,,有り,バリアフリー対応施設,なし,なし,2016,
津軽三味線（10月22日）,384,"東京都江戸東京博物館 - 5F 常設展示室 中村座前",2016,無し,,有り,バリアフリー対応施設,なし,なし,2016,
綱島家年中行事,386,"江戸東京たてもの園 - 西ゾーン 綱島家（農家）",2016,無し,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,なし,なし,2016,
武蔵野の歴史と考古学－江戸東京たてもの園収蔵品展－,387,"江戸東京たてもの園 - ビジターセンター 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
川崎平右衛門－武蔵野新田開発の立役者,388,"江戸東京たてもの園 - ビジターセンター 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
体験！発見！職人さん,389,"江戸東京たてもの園 - 東ゾーン",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
紅葉とたてもののライトアップ,390,江戸東京たてもの園,2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
正月飾りづくり,392,"江戸東京たてもの園 - 東ゾーン",2016,2016,,無し,英語,有り,バリアフリー対応施設,なし,なし
たてもの園フェスティバル,394,江戸東京たてもの園,2016,2016,,無し,英語,有り,バリアフリー対応施設,なし,なし
伝統工芸の実演,395,"江戸東京たてもの園 - 東ゾーン 植村邸|江戸東京たてもの園 - 東ゾーン 川野商店（和傘問屋）",2016,2016,,無し,英語,有り,バリアフリー対応施設,なし,なし
パブリック・ミーティング,397,"江東区深川江戸資料館 - 小劇場",2016,2016,,有り,英語,無し,,なし,あり・チラシ画像
旧駄菓子屋,401,旧駄菓子屋（江東区）,2016,2016,,有り,英語,無し,,なし,あり・チラシ画像|あり・動画
グランチェスター・ハウス,402,グランチェスター・ハウス,2016,2016,,有り,英語,無し,,なし,あり・チラシ画像|あり・動画
赤い庇の旧印刷所,403,赤い庇の旧印刷所（江東区）,2016,2016,,有り,英語,無し,,なし,あり・チラシ画像|あり・動画
Ｆ邸,404,Ｆ邸（江東区）,2016,2016,,有り,英語,無し,,なし,あり・チラシ画像|あり・動画
深川資料館通り商店街協同組合事務所,405,深川資料館通り商店街協同組合事務所,2016,2016,,有り,英語,無し,,なし,あり・チラシ画像|あり・動画
【特別展】ゴッホとゴーギャン展,408,,2016,2016,0,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,なし,あり・チラシ画像
"オペラ「眠れる美女～House of theSleeping Beauties～」",409,"東京文化会館 - 大ホール",2016,2016,,無し,英語,有り,バリアフリー対応施設,なし,あり・チラシ画像
映画「眠れる美女」特別上映会,410,"東京都写真美術館 - 1F ホール",2016,2016,,無し,英語,有り,バリアフリー対応施設,なし,なし
日本･ベルギー交流150年の歴史,411,"東京文化会館 - 大会議室",2016,2016,,無し,英語,有り,バリアフリー対応施設,なし,なし
"東京芸術劇場パイプオルガンコンサート vol.21 エドガー・クラップ　オルガン・リサイタル",414,"東京芸術劇場 - コンサートホール",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
東京芸術劇場ランチタイム・パイプオルガンコンサート　Vol.118,415,"東京芸術劇場 - コンサートホール",2016,2016,,有り,英語,有り,バリアフリー対応施設|その他の取組,なし,なし
東京芸術劇場ランチタイム・パイプオルガンコンサート　Vol.119,416,"東京芸術劇場 - コンサートホール",2016,2016,,有り,英語,有り,バリアフリー対応施設|その他の取組,なし,なし
東京芸術劇場ナイトタイム・パイプオルガンコンサートVol.16,417,"東京芸術劇場 - コンサートホール",2016,2016,,有り,英語,有り,バリアフリー対応施設|その他の取組,なし,なし
"第66回 ～音のレシピのひみつ～　第2回　ヴェルサイユのオルガニストたち",418,"東京芸術劇場 - コンサートホール",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
民家の間取りと格式,443,江戸東京たてもの園,2016,2016,,無し,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,なし,なし
鉄道の歴史と都電,445,江戸東京たてもの園,2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
川野商店,446,"江戸東京たてもの園 - 東ゾーン 川野商店（和傘問屋）",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
大川邸とクリスマス,447,"江戸東京たてもの園 - 西ゾーン 田園調布の家（大川邸）",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
子宝湯と東京の銭湯,448,"江戸東京たてもの園 - 東ゾーン 子宝湯",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
特別展「川崎平右衛門」みどころ,449,"江戸東京たてもの園 - ビジターセンター 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
万世橋交番,450,"江戸東京たてもの園 - 東ゾーン 万世橋交番",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
享保の改革と川崎平右衛門,451,江戸東京たてもの園,2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
建築博物館を楽しもう！①「国立近現代建築資料館―その役割と楽しみ方―」,452,"東京都江戸東京博物館 - 1F 貸出施設 小ホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
建築博物館を楽しもう！②「海外の事例に学ぶ―イギリス、アメリカの建築博物館事情―」,453,"東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
建築博物館を楽しもう！③「明治村からたてもの園へ―ライバルへのメッセージ―」,454,"東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
スクールプログラム,455,江戸東京たてもの園,2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
博物館ボランティア,457,江戸東京たてもの園,2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
江戸東京でおもてなし,459,"江戸東京たてもの園 - ビジターセンター 導入展示",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
東京くらしの木檜と杉展,460,"江戸東京たてもの園 - ビジターセンター 導入展示",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
"東京大茶会 2016",461,,,,,,,,,,
江戸の正月を楽しもう,463,江戸東京たてもの園,2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
正月の昔あそび,464,江戸東京たてもの園,2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
"東京キャラバンin 六本木",468,,2016,2016,,有り,英語|中国語簡体字|韓国語,無し,,,なし
大江戸寄席と花街おどり,470,"国立劇場 - 大劇場",2016,2016,,有り,英語,無し,,なし,あり・その他画像
第17回　多摩川流域郷土芸能フェスティバル,471,狛江エコルマホール,2016,2016,,有り,英語,無し,,なし,なし
「FORM」,472,"東京国際フォーラム - ホールB7",2016,2016,0,有り,英語,無し,,なし,なし
伝統芸能普及公演　ケルティック能「鷹姫」,473,"Bunkamura - オーチャードホール",2016,2016,,有り,英語,無し,,なし,なし
公益財団法人港区スポーツふれあい文化健康財団,481,,2016,2016,,無し,,有り,バリアフリー対応施設,,なし
"江戸川区総合文化センター指定 管理者　サントリーパブリシティサービス株式会社",488,,2016,2016,,無し,,無し,,,なし
公益財団法人新宿未来創造財団,489,,2016,2016,,無し,,有り,バリアフリー対応施設,,なし
"足立区西新井文化ホール指定管 理者構成企業　株式会社JTB コミュニケーションデザイン",490,,2016,2016,,無し,,有り,バリアフリー対応施設,,なし
羽村市,491,,2016,2016,,無し,,無し,,,なし
公益財団法人大田区文化振興協会,492,,2016,2016,,無し,,無し,,,なし
公益財団法人板橋区文化・国際交流財団,493,,2016,2016,,無し,,無し,,,なし
公益財団法人調布市文化・コミュニティ振興財団,494,,2016,2016,,無し,,無し,,,なし
昭島市,495,,2016,2016,,無し,,無し,,,なし
公益財団法人品川文化振興事業団,496,,2016,2016,,無し,,有り,バリアフリー対応施設,,なし
公益財団法人府中文化振興財団,497,,2016,2016,,無し,,有り,バリアフリー対応施設,,なし
公益財団法人江東区文化コミュニティ財団,498,,2016,2016,,無し,,無し,,,なし
公益財団法人目黒区芸術文化振興財団,499,,2016,2016,,無し,,無し,,,なし
公益財団法人武蔵野文化事業団,500,,2016,2016,,無し,,無し,,,なし
武蔵村山市民会館（指定管理者株式会社ケイミックス）,501,,2016,2016,,無し,,無し,,,なし
"西東京市保谷こもれびホール指定管理者　株式会社JTB コミュニケーションデザイン",502,,2016,2016,,無し,,無し,,,なし
公益財団法人多摩市文化振興財団,503,,2016,2016,,無し,,無し,,,なし
公益財団法人北区文化振興財団,504,,2016,2016,,無し,,無し,,,なし
小金井市民交流センター指定管理者　こがねいしてぃ共同事業体　サントリーパブリシティサービス株式会社,505,,2016,2016,,無し,,無し,,,なし
公益財団法人練馬区文化振興協会,506,,2016,2016,,無し,,無し,,,なし
秋川キララホール指定管理者代表団体　株式会社コンベンションリンケージ,507,,2016,2016,,無し,,無し,,,なし
葛飾区文化施設指定管理者株式会社キョードー東京,508,,2016,2016,,無し,,無し,,,なし
公益財団法人くにたち文化・スポーツ振興財団,511,,2016,2016,,無し,,無し,,,なし
建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」,515,"東京都庭園美術館 - 本館（旧朝香宮邸）",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,あり・チラシ画像
ギャラリートーク,520,"東京都庭園美術館 - 本館（旧朝香宮邸）",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
トークイベント「昭和の美術タイルと旧朝香宮邸」,523,"東京都庭園美術館 - 本館（旧朝香宮邸）",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
トークイベント「ディテールのアール・デコ　旧朝香宮邸の室内空間」,524,"東京都庭園美術館 - 本館（旧朝香宮邸）",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
第5回　外山啓介　ピアノ・リサイタル,526,"東京都庭園美術館 - 本館（旧朝香宮邸）大広間",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
第6回　小川典子　ピアノ・リサイタル,527,"東京都庭園美術館 - 本館（旧朝香宮邸）大広間",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
第7回　吉野直子　ハープ・リサイタル,528,"東京都庭園美術館 - 本館（旧朝香宮邸）大広間",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
第8回　漆原啓子・漆原朝子　ヴァイオリンデュオ・リサイタル,529,"東京都庭園美術館 - 本館（旧朝香宮邸）大広間",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
第9回　山根一仁　ヴァイオリン・リサイタル,530,"東京都庭園美術館 - 本館（旧朝香宮邸）大広間",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
第10回　及川浩治　ピアノ・リサイタル,532,"東京都庭園美術館 - 本館（旧朝香宮邸）大広間",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
"クリスチャン・ボルタンスキー　アニミタス _さざめく亡霊たち",535,"東京都庭園美術館 - 新館 ギャラリー1|東京都庭園美術館 - 本館（旧朝香宮邸）|東京都庭園美術館 - 新館 ギャラリー2",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,あり・チラシ画像|あり・動画
記念講演会,537,"日仏会館 - ホール（日仏会館ホール）",2016,2016,,無し,,無し,バリアフリー対応施設,,なし
「インスタレーションと鑑賞者のエモーショナルな関係」,541,"東京都庭園美術館 - 本館（旧朝香宮邸）",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
「一風変わった幼少期からアーティストボルタンスキーの誕生」,542,"東京都庭園美術館 - 本館（旧朝香宮邸）",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
キュレーター・トーク,543,"東京都庭園美術館 - 新館 ギャラリー1|東京都庭園美術館 - 新館 ギャラリー2|東京都庭園美術館 - 本館（旧朝香宮邸）",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
インターン・トーク,544,"東京都庭園美術館 - 本館（旧朝香宮邸）|東京都庭園美術館 - 新館 ギャラリー1|東京都庭園美術館 - 新館 ギャラリー2",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
笹本晃《デリケート・サイクル》,549,"東京都写真美術館 - 3F 展示室",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,あり・チラシ画像
立教大学（2016年9月30日）,561,"東京都写真美術館 - 2F 展示室|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
"帝京科学大学 看護学科（2016年10月12日）",562,"東京都写真美術館 - 1F スタジオ",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
武蔵大学（2016年10月15日）,563,"東京都写真美術館 - 1F スタジオ",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
写真表現大学（2016年10月16日）,564,"東京都写真美術館 - 1F スタジオ",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
港区立白金の丘小学校（2016年10月21日）,565,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 2F 展示室|東京都写真美術館 - 3F 展示室|東京都写真美術館 - 学習室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
目黒区立駒場小学校（2016年10月25日）,566,目黒区立駒場小学校,2016,2016,,無し,,有り,バリアフリー対応施設,,なし
"公立高校定時制通信制 芸術祭展示部門生徒研修会（2016年10月30日）",567,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室|東京都写真美術館 - 2F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
"東京都図画工作研究会 美術館連携局（2016年9月22日）",568,"東京都写真美術館 - 1F スタジオ",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
"日本大学 通信教育部（2016年11月18日）",569,"東京都写真美術館 - 1F スタジオ",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
中野区図工部会（2016年11月9日）,570,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 2F 展示室|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
渋谷区立加計塚小学校（2016年11月25日）,571,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
"リニューアル・オープン／総合開館20周年記念事業 杉本博司　ロスト・ヒューマン",572,"東京都写真美術館 - 2F 展示室|東京都写真美術館 - 3F 展示室",2016,2016,,有り,英語|中国語簡体字|韓国語,有り,バリアフリー対応施設,なし,あり・チラシ画像
"British School in Tokyo（2016年11月4日）",573,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 2F 展示室|東京都写真美術館 - 3F 展示室|東京都写真美術館 - B1F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
渋谷区立加計塚小学校（2016年11月29日）,574,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
杉並区立東田中学校（2016年12月2日）,575,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
目黒区立向原小学校（2016年12月6日）,576,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
渋谷区立加計塚小学校（2016年12月8日）,577,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
女子聖学院中学校（2016年12月10日）,578,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
港区立南山小学校（2017年1月17日）,579,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
"明治学院高校（2017年1月13日 16:00-17:00）",580,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
"明治学院高校（2017年1月13日 13:30-15:50）",581,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
港区立御田小学校（2016年12月16日）,582,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
渋谷区立加計塚小学校（2016年12月15日）,583,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
筑波大付属駒場中・高等学校（2016年12月14日）,584,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
江戸川区立第三松江小学校（2016年12月13日）,585,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
渋谷区立常磐松小学校（2017年1月19日）,586,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
渋谷区立広尾小学校（2017年1月20日）,587,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
都立葛飾野高校（2017年1月21日）,588,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
北海道大学岩見沢校（2017年1月21日）,589,"東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
明治学院高校（2017年3月14日）,591,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
獨協埼玉中学高等学校（2017年1月29日）,592,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
目黒区立大鳥中学校（2017年1月26日）,593,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2016,2016,,無し,,有り,バリアフリー対応施設,,なし
"総合開館20周年記念事業 山崎博　計画と偶然",594,"東京都写真美術館 - 2F 展示室",2016,2016,,有り,英語|中国語簡体字|韓国語,有り,バリアフリー対応施設,なし,あり・チラシ画像
並河靖之七宝展　明治七宝の誘惑―透明な黒の感性,595,"東京都庭園美術館 - 新館|東京都庭園美術館 - 本館（旧朝香宮邸）",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,あり・チラシ画像|あり・動画
記念講演会「ヴィクトリア&アルバート博物館における日本の明治七宝コレクション」,596,"東京都庭園美術館 - 新館 ギャラリー2",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
トークイベント「並河七宝の息をのむ美しさの秘密　―現代の視点から見る明治工芸―」,597,"東京都庭園美術館 - 新館 ギャラリー2",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
ワークショップ「身につける七宝づくり―蝶のモチーフ」,598,東京都庭園美術館,2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
第7回「クリスチャン・ボルタンスキー」「アール・デコの花弁」に関連したプログラム「おばけとわたしのちず」,600,"東京都庭園美術館 - 庭園 芝庭",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
第8回「クリスチャン・ボルタンスキー」「アール・デコの花弁」に関連したプログラム「おばけとわたしのちず」,601,"東京都庭園美術館 - 庭園 芝庭",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
第9回「クリスチャン・ボルタンスキー」「アール・デコの花弁」に関連したプログラム「おばけとわたしのちず」,602,"東京都庭園美術館 - 庭園 芝庭",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
第10回「並河靖之七宝展」に関連したプログラム「ちょうちょでじゃんけん」,603,"東京都庭園美術館 - 庭園 芝庭",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
第11回「並河靖之七宝展」に関連したプログラム「ちょうちょでじゃんけん」,604,"東京都庭園美術館 - 庭園 芝庭",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
第12回「並河靖之七宝展」に関連したプログラム「ちょうちょでじゃんけん」,605,"東京都庭園美術館 - 庭園 芝庭",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
「五感と想像力で歩く建築ツアー」手話の回,606,"東京都庭園美術館 - 本館（旧朝香宮邸）",2016,2016,,無し,,有り,バリアフリー対応施設,なし,あり・その他画像
