"name","slug","description","TERMID","municilality","municipality_name"
"|1Fホール","1f%e3%80%80%e3%83%9b%e3%83%bc%e3%83%ab",,"96",,
"台東区立東上野保育園","%e5%8f%b0%e6%9d%b1%e5%8c%ba%e7%ab%8b%e6%9d%b1%e4%b8%8a%e9%87%8e%e4%bf%9d%e8%82%b2%e5%9c%92",,"352",,
"恵比寿ガーデンプレイス センター広場","%e6%81%b5%e6%af%94%e5%af%bf%e3%82%ac%e3%83%bc%e3%83%87%e3%83%b3%e3%83%97%e3%83%ac%e3%82%a4%e3%82%b9-%e3%82%bb%e3%83%b3%e3%82%bf%e3%83%bc%e5%ba%83%e5%a0%b4",,"97",,
"滝野川女子学園中学高等学校","%e6%bb%9d%e9%87%8e%e5%b7%9d%e5%a5%b3%e5%ad%90%e5%ad%a6%e5%9c%92%e4%b8%ad%e5%ad%a6%e9%ab%98%e7%ad%89%e5%ad%a6%e6%a0%a1",,"353",,
"|2Fロビー","2f%e3%83%ad%e3%83%93%e3%83%bc",,"98",,
"練馬区立豊玉小学校","%e7%b7%b4%e9%a6%ac%e5%8c%ba%e7%ab%8b%e8%b1%8a%e7%8e%89%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"354",,
"ザ・ガーデンルー ム","%e3%82%b6%e3%83%bb%e3%82%ac%e3%83%bc%e3%83%87%e3%83%b3%e3%83%ab%e3%83%bc-%e3%83%a0",,"100",,
"日仏会館ホール","%e6%97%a5%e4%bb%8f%e4%bc%9a%e9%a4%a8%e3%83%9b%e3%83%bc%e3%83%ab",,"101",,
"|1Fスタジオ","1f%e3%82%b9%e3%82%bf%e3%82%b8%e3%82%aa",,"102",,
"COMMON EBISU","common-ebisu",,"103",,
"日仏会館","%e6%97%a5%e4%bb%8f%e4%bc%9a%e9%a4%a8",,"107",,
"YEBISU GARDEN CINEMA","yebisu-garden-cinema",,"108",,
"伊東建築塾","%e4%bc%8a%e6%9d%b1%e5%bb%ba%e7%af%89%e5%a1%be",,"109",,
"環状第２号線　新虎通り（愛宕下通り～日比谷通り間）および虎ノ門ヒルズ","%e7%92%b0%e7%8a%b6%e7%ac%ac%ef%bc%92%e5%8f%b7%e7%b7%9a%e3%80%80%e6%96%b0%e8%99%8e%e9%80%9a%e3%82%8a%ef%bc%88%e6%84%9b%e5%ae%95%e4%b8%8b%e9%80%9a%e3%82%8a%ef%bd%9e%e6%97%a5%e6%af%94%e8%b0%b7%e9%80%9a",,"365",,
"MA2 Gallery","ma2-gallery",,"110",,
"新虎通り","%e6%96%b0%e8%99%8e%e9%80%9a%e3%82%8a",,"366",,
"Gallery 工房 親","gallery-%e5%b7%a5%e6%88%bf-%e8%a6%aa",,"111",,
"MuCuL studio","mucul-studio",,"112",,
"NADiff a/p/a/r/t","nadiff-a-p-a-r-t",,"113",,
"G/P gallery","g-p-gallery",,"114",,
"MEM","mem",,"115",,
"statements","statements",,"116",,
"WAITINGROOM","waitingroom",,"117",,
"虎ノ門ヒルズ　アトリウム（2F）","%e8%99%8e%e3%83%8e%e9%96%80%e3%83%92%e3%83%ab%e3%82%ba%e3%80%80%e3%82%a2%e3%83%88%e3%83%aa%e3%82%a6%e3%83%a0%ef%bc%882f%ef%bc%89",,"373",,
"AIT","ait",,"118",,
"虎ノ門ヒルズ　オーバル広場（2F）　","%e8%99%8e%e3%83%8e%e9%96%80%e3%83%92%e3%83%ab%e3%82%ba%e3%80%80%e3%82%aa%e3%83%bc%e3%83%90%e3%83%ab%e5%ba%83%e5%a0%b4%ef%bc%882f%ef%bc%89%e3%80%80",,"374",,
"AL（TRAUMARIS）","al%ef%bc%88traumaris%ef%bc%89",,"119",,
"虎ノ門ヒルズフォーラム（4F）　ホールB","%e8%99%8e%e3%83%8e%e9%96%80%e3%83%92%e3%83%ab%e3%82%ba%e3%83%95%e3%82%a9%e3%83%bc%e3%83%a9%e3%83%a0%ef%bc%884f%ef%bc%89%e3%80%80%e3%83%9b%e3%83%bc%e3%83%abb",,"375",,
"LIBRAIRIE6","librairie6",,"120",,
"　虎ノ門ヒルズフォーラム（4F）エントランス","%e3%80%80%e8%99%8e%e3%83%8e%e9%96%80%e3%83%92%e3%83%ab%e3%82%ba%e3%83%95%e3%82%a9%e3%83%bc%e3%83%a9%e3%83%a0%ef%bc%884f%ef%bc%89%e3%82%a8%e3%83%b3%e3%83%88%e3%83%a9%e3%83%b3%e3%82%b9",,"376",,
"東京都庭園美術館","%e6%9d%b1%e4%ba%ac%e9%83%bd%e5%ba%ad%e5%9c%92%e7%be%8e%e8%a1%93%e9%a4%a8",,"121",,
"虎ノ門ヒルズフォーラム（5F）メインホール","%e8%99%8e%e3%83%8e%e9%96%80%e3%83%92%e3%83%ab%e3%82%ba%e3%83%95%e3%82%a9%e3%83%bc%e3%83%a9%e3%83%a0%ef%bc%885f%ef%bc%89%e3%83%a1%e3%82%a4%e3%83%b3%e3%83%9b%e3%83%bc%e3%83%ab",,"377",,
"福徳の森内特設 ステージ","%e7%a6%8f%e5%be%b3%e3%81%ae%e6%a3%ae%e5%86%85%e7%89%b9%e8%a8%ad-%e3%82%b9%e3%83%86%e3%83%bc%e3%82%b8",,"378",,
"|本館","%e6%9c%ac%e9%a4%a8",,"125",,
"東京都江戸東京博物館","%e6%9d%b1%e4%ba%ac%e9%83%bd%e6%b1%9f%e6%88%b8%e6%9d%b1%e4%ba%ac%e5%8d%9a%e7%89%a9%e9%a4%a8",,"126",,
"|常設展示室5階中村座前","%e5%b8%b8%e8%a8%ad%e5%b1%95%e7%a4%ba%e5%ae%a45%e9%9a%8e%e4%b8%ad%e6%9d%91%e5%ba%a7%e5%89%8d",,"127",,
"江戸東京たてもの園","%e6%b1%9f%e6%88%b8%e6%9d%b1%e4%ba%ac%e3%81%9f%e3%81%a6%e3%82%82%e3%81%ae%e5%9c%92",,"130",,
"清澄白河駅周辺エリア","%e6%b8%85%e6%be%84%e7%99%bd%e6%b2%b3%e9%a7%85%e5%91%a8%e8%be%ba%e3%82%a8%e3%83%aa%e3%82%a2",,"133",,
"東京オペラシティ","%e6%9d%b1%e4%ba%ac%e3%82%aa%e3%83%9a%e3%83%a9%e3%82%b7%e3%83%86%e3%82%a3",,"408",,
"江戸桜通り地下歩道","%e6%b1%9f%e6%88%b8%e6%a1%9c%e9%80%9a%e3%82%8a%e5%9c%b0%e4%b8%8b%e6%ad%a9%e9%81%93",,"413",,
"橋楽亭","%e6%a9%8b%e6%a5%bd%e4%ba%ad",,"414",,
"福徳の森日本橋","%e7%a6%8f%e5%be%b3%e3%81%ae%e6%a3%ae%e6%97%a5%e6%9c%ac%e6%a9%8b",,"415",,
"深川江戸資料館","%e6%b7%b1%e5%b7%9d%e6%b1%9f%e6%88%b8%e8%b3%87%e6%96%99%e9%a4%a8",,"160",,
"福徳の森","%e7%a6%8f%e5%be%b3%e3%81%ae%e6%a3%ae",,"416",,
"|小劇場","%e5%b0%8f%e5%8a%87%e5%a0%b4",,"161",,
"福徳神社周辺","%e7%a6%8f%e5%be%b3%e7%a5%9e%e7%a4%be%e5%91%a8%e8%be%ba",,"417",,
"日本橋三井ホール","%e6%97%a5%e6%9c%ac%e6%a9%8b%e4%b8%89%e4%ba%95%e3%83%9b%e3%83%bc%e3%83%ab",,"418",,
"オリンパスホール八王子","%e3%82%aa%e3%83%aa%e3%83%b3%e3%83%91%e3%82%b9%e3%83%9b%e3%83%bc%e3%83%ab%e5%85%ab%e7%8e%8b%e5%ad%90",,"419",,
"-小ホール","%e5%b0%8f%e3%83%9b%e3%83%bc%e3%83%ab",,"420",,
"ザ・ロイヤル・スコッツマン","%e3%82%b6%e3%83%bb%e3%83%ad%e3%82%a4%e3%83%a4%e3%83%ab%e3%83%bb%e3%82%b9%e3%82%b3%e3%83%83%e3%83%84%e3%83%9e%e3%83%b3",,"421",,
"縁香園","%e7%b8%81%e9%a6%99%e5%9c%92",,"422",,
"風雅すたいるカフェ","%e9%a2%a8%e9%9b%85%e3%81%99%e3%81%9f%e3%81%84%e3%82%8b%e3%82%ab%e3%83%95%e3%82%a7",,"423",,
"神楽坂モノガタリ","%e7%a5%9e%e6%a5%bd%e5%9d%82%e3%83%a2%e3%83%8e%e3%82%ac%e3%82%bf%e3%83%aa",,"424",,
"旧駄菓子屋","%e6%97%a7%e9%a7%84%e8%8f%93%e5%ad%90%e5%b1%8b",,"169",,
"神楽坂界隈","%e7%a5%9e%e6%a5%bd%e5%9d%82%e7%95%8c%e9%9a%88",,"425",,
"グランチェスター・ハウス","%e3%82%b0%e3%83%a9%e3%83%b3%e3%83%81%e3%82%a7%e3%82%b9%e3%82%bf%e3%83%bc%e3%83%bb%e3%83%8f%e3%82%a6%e3%82%b9",,"170",,
"深川資料館通り商店街協同組合事務所","%e6%b7%b1%e5%b7%9d%e8%b3%87%e6%96%99%e9%a4%a8%e9%80%9a%e3%82%8a%e5%95%86%e5%ba%97%e8%a1%97%e5%8d%94%e5%90%8c%e7%b5%84%e5%90%88%e4%ba%8b%e5%8b%99%e6%89%80",,"171",,
"赤い庇の旧印刷所","%e8%b5%a4%e3%81%84%e5%ba%87%e3%81%ae%e6%97%a7%e5%8d%b0%e5%88%b7%e6%89%80",,"172",,
"Ｆ邸","%ef%bd%86%e9%82%b8",,"173",,
"東京都美術館","%e6%9d%b1%e4%ba%ac%e9%83%bd%e7%be%8e%e8%a1%93%e9%a4%a8",,"174",,
"|企画棟　企画展示室","%e4%bc%81%e7%94%bb%e6%a3%9f%e3%80%80%e4%bc%81%e7%94%bb%e5%b1%95%e7%a4%ba%e5%ae%a4",,"175",,
