id,Title,開催年度,主催,開催時間,期間_date,期間_date_to,単日/複数日_date
2399,第４回,2017,東京都庭園美術館|株式会社ジャパン・アーツ,20180124,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",,
2400,第５回,2017,東京都庭園美術館|株式会社ジャパン・アーツ,20180228,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",,
2406,あいうえのファミリー（こどもと家族のプログラム）,2016,東京都美術館,"20160724,20160904,20161002,20161105,20170128,20170214,20170328,20160820,20160917,20161001,20161015,20161105,20161119,20161120,20170218,20160710,20160722,20160824,20160809,20160826,20160816,20170304,20180917,20181002,20181113,20181211","a:1:{s:4:""time"";b:0;}",,
2407,あいうえの学校（学校向けプログラム）スペシャルマンデーコース,2016,東京都美術館,"20160912,20160926,20161017,20161114","a:1:{s:4:""time"";b:0;}",,
2408,"あいうえの学校　(学校向けプログラム) 平日開館コース",2016,東京都美術館,"20160803,20160830,20161014,20161206,20161214,20161215,20170113,20161021","a:1:{s:4:""time"";b:0;}",,
2409,あいうえのメンバー向けプログラム,2016,東京都美術館,"20160806,20161008,20161211,20170327","a:1:{s:4:""time"";b:0;}",,
2410,学びあいカフェ,2016,東京都美術館,,"a:1:{s:4:""time"";b:0;}",20160508,20170318
2411,教員向け研修プログラムの実施,2016,東京都美術館,,"a:1:{s:4:""time"";b:0;}","20160805,20161014,20170127,20160611,20170121,20160624,20160701,20160907,20160715,20160802,20160805,20161122","20160805,20161014,20170127,20160618,20170129,20160624,20160701,20160909,20160715,20160802,20160805,20161122"
2412,学校団体来館の対応（免除申請・電話相談・当日対応）,2016,東京都美術館,"20160415,20160608,20160616,20170118,20170211,20170217,20170107,20160623,20160927","a:1:{s:4:""time"";b:0;}",,
2413,展覧会関連参加型プログラムの実施,2016,東京都美術館,"20160515,20160508,20160826,20160815,20160829,20160605,20160806,20160807,20160922,20160910,20160922,20160924,20160821,20161204,20161126,20161127,20170320,20170212,20170305","a:1:{s:4:""time"";b:0;}",,
2414,⑥上野「文化の杜」新構想への参画（レクチャー、ワークショップ等）,2016,東京都美術館,"20161021,20161022","a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:00:00"";s:7:""time_to"";s:8:""20:00:00"";s:10:""time_bikou"";s:0:"""";}}}",,
2415,【ゴッホとゴーギャン展】特別展関連講演会,2016,東京都美術館,"20161008,20161112,20161118,20161202","a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:8:""15:30:00"";s:10:""time_bikou"";s:15:""記念講演会"";}i:1;a:3:{s:9:""time_from"";s:8:""18:30:00"";s:7:""time_to"";s:8:""19:00:00"";s:10:""time_bikou"";s:33:""イブニング・レクチャー"";}}}",,
