Title,id,会場(投稿),開催年度,多言語対応の有無,多言語対応（例）ウェブサイトの多言語化,バリアフリー対応の有無,バリアフリー対応策（例）,組織委員会の認証の有無,画像等データの有無,決算額_year,決算額_price
[2017]東京シティ・フィルハーモニック管弦楽団,4802,"東京芸術劇場 - コンサートホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
[2017]東京交響楽団,4803,"東京芸術劇場 - コンサートホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
[2017]新日本フィルハーモニー交響楽団,4804,"東京芸術劇場 - コンサートホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
[2017]読売日本交響楽団,4805,"東京芸術劇場 - コンサートホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
[2017]日本フィルハーモニー交響楽団,4806,"東京芸術劇場 - コンサートホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
[2017]東京都交響楽団,4807,"東京芸術劇場 - コンサートホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
東京都立八王子特別支援学校,4810,東京都立八王子特別支援学校,2016,,,無し,,有り,バリアフリー対応施設|障害者も参加可能なワークショップ,なし,なし
東京都立久我山青光学園,4811,東京都立久我山青光学園,2016,,,無し,,有り,バリアフリー対応施設,なし,なし
"[2017]藤原歌劇団公演 オペラ『ナヴァラの娘』（日本初演）『道化師』",4812,"東京文化会館 - 大ホール",2017,2017,,有り,,有り,バリアフリー対応施設,なし,なし
[2017]東京二期会オペラ劇場『ローエングリン』全3幕,4814,"東京文化会館 - 大ホール",2017,2017,,有り,,有り,バリアフリー対応施設,なし,なし
"[2017]日本オペラ協会公演 オペラ『夕鶴』1幕",4815,"新宿区立新宿文化センター - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
「カルテットが紡ぐ極上の響き」,4816,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設|点字ガイド・手話通訳・字幕ガイド等,,なし
「変奏曲とソナタへの誘い」,4827,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設|点字ガイド・手話通訳・字幕ガイド等,,なし
「日本人の愛のかたちVol.2＜うた～歌～唄～詩＞」,4828,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設|点字ガイド・手話通訳・字幕ガイド等,,なし
劇団俳優座公演『いつもいつも君を憶ふ』,4829,俳優座劇場,2017,2017,,無し,,有り,バリアフリー対応施設,,なし
"スターダンサーズ・バレエ団公演 「バランシンからフォーサイスへ」",4834,"東京芸術劇場 - プレイハウス",2016,2016,,無し,,有り,バリアフリー対応施設,なし,あり・その他画像
"虚構の劇団 第13回公演  『もうひとつの地球の歩き方 ～How to walk on another Earth.～』",4836,"座・高円寺１　セシオン杉並ホール、JR高円寺駅周辺商店街及び高南通りに設営される8演舞場|東京芸術劇場 - シアターウエスト",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
"ミュージカル『HEADS UP!』",4837,TBS赤坂ACTシアター,2017,2017,,無し,,有り,バリアフリー対応施設,,なし
名取事務所公演『渇愛』,4838,小劇場B1,2017,2017,,無し,,有り,バリアフリー対応施設,,なし
"青年劇場 第118回公演『きみはいくさに征ったけれど』",4839,"紀伊國屋サザンシアター TAKASHIMAYA",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
記憶と記録のプロジェクト：『ランドスケープ｜ポートレイト―まちの写真屋の写真論』（岩手）,4863,岩手県釜石市|岩手県大槌町|東京都内各所,2017,2017,,無し,,無し,,なし,なし
とうほくのこよみのよぶね（岩手）,4865,"釜石情報交流センター 釜石PIT|釜石市民ホール|岩手県釜石市鵜住居町根浜海岸",2017,2017,,無し,,無し,,なし,あり・その他画像
松島湾とハゼ,4867,"貞山堀（多賀城市） - 塩釜港沖|islands court|多賀城市山王地区公民館",2017,2017,,無し,,無し,,なし,あり・その他画像
海底タイムカプセル松島湾,4870,松島湾,2017,2017,,無し,,無し,,なし,あり・その他画像
塩づくりプログラムのためのリサーチおよび実験,4871,塩竈市御釜神社|合同会社顔晴れ塩竈|塩竈市千賀の浦緑地公園,2017,2017,,無し,,無し,,なし,なし
湾域の文化を巡るプログラムのためのリサーチ,4875,松島湾沿岸部|浦戸諸島|ビルドスペース,2017,2017,,無し,,無し,,なし,あり・その他画像
「松島湾の牡蠣図鑑」制作,4879,,2017,2017,,無し,,無し,,なし,なし
記録アーカイブ・発信,4880,,2017,2017,,無し,,無し,,なし,なし
子供を対象としたアウトリ－チ・ワークショップ,4884,けやき教室（白石市）|おおがわら子どもの心のケアハウス（大河原町）|桜保育所（大河原町）,2017,2017,,無し,,無し,,なし,あり・その他画像
"東京シティ･バレエ団公演 「TOKYO CITY BALLET LIVE 2017」",4886,"ティアラこうとう（江東公会堂） - 大ホール",2016,2016,,無し,,有り,その他の取組,なし,あり・その他画像
子供とシニアのふれあい交流プログラム,4889,あいやま小規模多機能居宅介護施設（村田町）|関保育所（七ヶ宿町）|障害者社会支援施設陽光園,2017,2017,,無し,,無し,,なし,あり・その他画像
ラジオ下神白―あのときあのまちの音楽からいまここへ（福島）,4895,いわき市小名浜下神白,2017,2017,,無し,,無し,,なし,なし
ワングラ×オノコロ場づくりプロジェクト「開いてみる」（福島）,4897,アートスタジオもりたか屋,2017,2017,,無し,,無し,,なし,なし
「おとなりアーティスト！」デコって、張りこる～！！～不思議で楽しい張り子づくり,4899,認定こども園ぼだい樹|いわき市立平第二小学校|二本松市立安達中学校|会津若松市立第一中学校|学校法人富田幼稚園|福島市立福島養護学校高等部|二本松市立渋川小学校|県立小野高等学校,2017,2017,,無し,,無し,,なし,あり・その他画像
牧阿佐美バレヱ団『ドン・キホーテ』（全幕）,4904,"文京シビックホール - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
「おとなりアーティスト！」紙で絵地図を作ろう！,4906,学校法人西郷幼稚園|福島市立杉妻幼稚園|学校法人開南幼稚園|会津美里町立高田中学校,2017,2017,,無し,,無し,,なし,あり・その他画像
東京シティ・バレエ団創立50周年記念公演『白鳥の湖』～大いなる愛の讃歌～,4910,"東京文化会館 - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
おとなりアーティスト！」2017年学校連携共同ワークショップ参加校作品展,4912,"福島県立美術館 - 企画展示室B|いわき市暮らしの伝承郷 - 企画展示室",2017,2017,,無し,,無し,,なし,あり・その他画像
『ライモンダ』全幕,4915,"東京文化会館 - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
小池アミイゴの誰でも絵が描けるワークショップ「わたしのすきな柳津」,4916,"齋藤清美術館 - アートテラス|柳津駅周辺",2017,2017,,無し,,無し,,なし,あり・その他画像
"現代舞踊公演 魂のDance in Tokyo",4918,"東京芸術劇場 - プレイハウス",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"Art Support Tohoku-Tokyo トークセッション #02　土地の記憶を紡ぐ術（アート）―東北の海と森の実践から",4920,"Rough Laugh",2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
"劇団東京乾電池 ＥＴ×２ 第５回公演「ゴドーを待ちながら」",4922,下北沢ザ・スズナリ,2016,2016,,無し,,無し,,なし,なし
"第48回 邦楽演奏会",4923,"国立劇場 - 小劇場",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
"FIELD RECORDING",4924,岩手県各所|宮城県各所|福島県各所,2017,2017,,無し,,無し,,なし,なし
第61回日本舞踊協会公演,4929,"国立劇場 - 大劇場",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"第58回 式能",4930,国立能楽堂,2017,2017,,無し,,有り,バリアフリー対応施設,,なし
"オフィス３〇〇公演 「鯨よ！私の手に乗れ」",4931,シアタートラム,2016,2016,,無し,,有り,その他の取組,なし,なし
"第49回 東京都民俗芸能大会 花風流（はなふりゅう）～うたとおどりの競い～",4933,"東京芸術劇場 - プレイハウス",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
"二兎社公演４１ 「ザ・空気」",4934,"東京芸術劇場 - シアターイースト",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
第48回都民寄席,4935,"くにたち市民芸術 - 小ホール|東京芸術劇場 - シアターウエスト|羽村市生涯学習センターゆとろぎ|狛江市立西河原公民館 - 多目的ホール|町田市民ホール|ひの煉瓦ホール(日野市民会館）|多摩市立関戸公民館",2017,2017,,無し,,無し,,,なし
タレンツ・トーキョー,4938,有楽町朝日ホールスクエア,2017,2017,,無し,,無し,,,あり・その他画像
"こまつ座　第１１６回公演 「私はだれでしょう」",4939,"紀伊國屋サザンシアター TAKASHIMAYA",2016,2016,,無し,,有り,その他の取組,なし,なし
連続講座「言葉を紡ぐ」,4941,"アーツカウンシル東京 - 3F ROOM302",2017,2017,,無し,,無し,,なし,あり・その他画像
連続講座「体験を紡ぐ」,4942,"アーツカウンシル東京 - 3F ROOM302",2017,2017,,無し,,無し,,なし,なし
"日本大学芸術学部 博物館実習(2017年6月20日)",4943,"東京都写真美術館 - 1F スタジオ",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
東京芸術大学(2017年6月28日),4944,"東京都写真美術館 - 2F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
港区立御田小学校,4945,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
"流山児★事務所 「だいこん・珍奇なゴドー」",4946,下北沢ザ・スズナリ,2016,2016,,無し,,無し,その他の取組,なし,あり・その他画像
"日本大学芸術学部 博物館実習(2017年6月23日)",4947,"東京都写真美術館 - 1F スタジオ",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
品川区立浅間台小学校(2017年6月27日),4948,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
公開講座「技術を深める」,4949,"アーツカウンシル東京 - 3F ROOM302",2017,2017,,無し,,無し,,なし,あり・その他画像
公開講座「アートプロジェクトの今を共有する」,4950,"アーツカウンシル東京 - 3F ROOM302",2017,2017,,無し,,無し,,なし,なし
発行物,4951,,2017,2017,,無し,,無し,,なし,なし
ココロの遺伝子,4952,"東京芸術劇場 - プレイハウス",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
世田谷泉高校,4953,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
「第３コーナー」のつくりかた：記録・編集・アーカイブ,4954,,2017,2017,,無し,,無し,,なし,なし
荒川区図工部会,4955,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
江戸川区立篠崎中学校,4956,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
狛江第一中学校,4957,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
"歴文財団ティーチャーズ プログラム",4958,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2015,,,無し,,無し,,,
アートプロジェクトのつかまえかた：評価の視点／検証の手法,4959,,2017,2017,,無し,,無し,,なし,なし
地域と文化と制度の研究会,4960,,2017,2017,,無し,,無し,,なし,なし
"旅するリサーチ・ラボラトリーⅣ -フィールドワークと表現",4961,,2017,2017,,無し,,無し,,なし,なし
アートプロジェクトの「言葉」に関するメディア開発：メディア／レターの届け方,4962,,2017,2017,,無し,,無し,,なし,なし
アーカイブセンター開室,4963,,2017,2018,,無し,,無し,,なし,なし
"Tokyo Art Research Lab オープンルーム2018",4964,,2017,2017,,無し,,無し,,なし,なし
RITE,4965,"東京芸術劇場 - プレイハウス",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
ベートーヴェン第九,4966,"東京芸術劇場 - プレイハウス",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
"旅するリサーチ・ラボラトリーⅣ -フィールドワークと表現",4968,,2017,2017,,無し,,無し,,なし,なし
"第47回邦楽演奏会  江戸・東京にちなんだ曲を中心に…",4969,"国立劇場 - 小劇場",2016,2016,,無し,,有り,バリアフリー対応施設|点字ガイド・手話通訳・字幕ガイド等,なし,なし
第60回記念　日本舞踊協会公演,4970,"国立劇場 - 大劇場",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
第57回式能,4972,国立能楽堂,2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
"第48回東京都民俗芸能大会  ーおどけと笑いー",4973,"東京芸術劇場 - プレイハウス",2016,2016,,無し,,有り,バリアフリー対応施設,なし,あり・その他画像
アーツカウンシル・フォーラム　オープン・フォーラム2018,4974,スパイラルホール（港区）,2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像|あり・動画
シンポジウム,4976,東京ウィメンズプラザ,2017,2017,,無し,,無し,,なし,あり・チラシ画像|あり・その他画像
第47回都民寄席,4978,"狛江市立西河原公民館 - 多目的ホール|東京都江戸東京博物館|羽村市生涯学習センターゆとろぎ|町田市民ホール|小平市民文化会館（ルネこだいら）|国分寺市立いずみホール|ひの煉瓦ホール(日野市民会館）",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
山口情報芸術センター［YCAM］ワークショップ「Eye2Eye」,4979,渋谷文化総合センター大和田学習室,2017,2017,,有り,英語,無し,,なし,あり・その他画像
山口情報芸術センター［YCAM］ワークショップ「コトバ身体」」,4982,渋谷文化総合センター大和田学習室,2017,2017,,有り,英語,無し,,なし,あり・その他画像
"WSK: Festival of the Recently Possibleワークショップ　「“ 元気グルーブ” − 身近なものからレコードプレーヤーを作ろう！」",4983,渋谷文化総合センター大和田学習室,2017,2017,,有り,英語,無し,,なし,あり・その他画像
"Lifepatchワークショップ　「“ グリッチテープ”―音と映像をつくり出すシンセサイザーを作ろう！」",4984,渋谷文化総合センター大和田学習室,2017,2017,,有り,英語,無し,,なし,あり・その他画像
"「The Real of Liquid Asia ～今、アジアの音楽シーンはどこにあるのか～」",4985,"Red Bull Studios Tokyo",2017,2017,,有り,英語,無し,,なし,あり・その他画像
「ヨーロッパと日本におけるメディアアートシーン」,4989,"Red Bull Studios Tokyo",2017,2017,,有り,英語,無し,,なし,あり・その他画像
"「 新たな宇宙観をめぐって～マルチバース宇宙論と作品「datum」から～」",4990,"Red Bull Studios Tokyo",2017,2017,,有り,英語,無し,,なし,あり・その他画像
参加団体の活動紹介、厚生労働省「障害者文化活動普及支援事業」東京都支援センター「アーツサポ東京」について（社会福祉法人トット基金・佐藤宏美）、意見交換,4993,アーツカウンシル東京,2017,2017,,有り,英語,無し,,なし,あり・その他画像
今後の企画実現に向けたディスカッション,4995,アーツカウンシル東京,2017,2017,,有り,英語,無し,,なし,あり・その他画像
今後の企画実現に向けたディスカッション,4996,アーツカウンシル東京,2017,2017,,有り,英語,無し,,なし,あり・その他画像
"こども芸能体験ひろば in 三鷹",5009,三鷹市公会堂,2017,2017,,無し,,無し,,なし,あり・チラシ画像
参加・体験・感動！ふれあいこどもまつり（稲城市）,5011,"稲城市立ｉプラザ - 小ホール(B1F)|稲城市立ｉプラザ - スタジオ(B2F)|稲城市立ｉプラザ - 会議室(2F)",2017,2017,,無し,,無し,,,なし
有識者ヒアリング集の編纂,5014,アーツカウンシル東京,2017,2017,,無し,,無し,,なし,なし
振興策について提案したい具体的なテーマの検討、ブレスト,5015,アーツカウンシル東京,2017,2017,,無し,,無し,,なし,なし
振興策の各テーマについて、社会的価値・必要性についてのグループワーク,5019,アーツカウンシル東京,2017,2017,,無し,,無し,,なし,なし
"""・ゲスト講師による芸術振興の変遷や事例についての 講義および意見交換 ・施策案のまとめ作業（理念づくり）""",5020,アーツカウンシル東京,2017,2017,,無し,,無し,,なし,なし
施策案の精査,5021,アーツカウンシル東京,2017,2017,,無し,,無し,,なし,なし
参加・体験・感動！ふれあいこどもまつり（品川区）,5022,"きゅりあん（品川区立総合区民会館） - イベントホール（7F）|きゅりあん（品川区立総合区民会館） - 大ホール|きゅりあん（品川区立総合区民会館） - 小ホール（1F）|きゅりあん（品川区立総合区民会館） - リハーサル室（7F)",2017,2017,,無し,,無し,,,なし
参加・体験・感動！ふれあいこどもまつり（清瀬市）,5023,"清瀬けやきホール - ホール(1F)|清瀬けやきホール - 小ホール(4F)|清瀬けやきホール - セミナーハウス(1F)|清瀬けやきホール - 集会室(4F)",2017,2017,,無し,,無し,,,なし
参加・体験・感動！ふれあいこどもまつり（文京区）,5024,"文京シビックホール - 小ホール（2F)",2017,2017,,無し,,無し,,,なし
参加・体験・感動！ふれあいこどもまつり（立川市）,5025,"たましんRISURUホール（立川市民会館） -  小ホール（3F)|たましんRISURUホール（立川市民会館） - ギャラリー（3F)|たましんRISURUホール（立川市民会館） - 地下サブホール",2017,2017,,無し,,無し,,,なし
参加・体験・感動！ふれあいこどもまつり（江東区）,5026,"亀戸文化センター（カメリアホール）|亀戸文化センター（カメリアホール） - 大研修室（2F)|亀戸文化センター（カメリアホール） - 第1研修室（5F)|亀戸文化センター（カメリアホール） - 第2研修室（5F)|亀戸文化センター（カメリアホール） - 第3研修室（6F)",2017,2017,,無し,,無し,,,なし
振興策、施策案の精査,5027,アーツカウンシル東京,2016,2017,,無し,,無し,,なし,なし
振興策、施策案の精査、まとめ作業,5028,アーツカウンシル東京,2017,2017,,無し,,無し,,なし,なし
第１回「カンパニーデラシネラの若手プロジェクト　３年間を振り返る」,5030,アーツカウンシル東京,2017,2017,,有り,英語,無し,,なし,あり・その他画像|あり・動画
"第２回「身体を透してみえてくるもの－更新をつづける国際ダンスフェスティバル Dance NewAir」",5031,"アーツカウンシル東京 - 大会議室",2017,2017,,有り,英語,無し,,なし,あり・その他画像
"第３回「より豊かな演劇のために― 『つくり方』 から模索し続けた庭劇団ペニノの３年間」",5032,"アーツカウンシル東京 - 大会議室",2017,2017,,有り,英語,無し,,なし,あり・その他画像
"鉄工島FES～運河を利用したMIXED MEDIA FES～",5068,"須田鉄工所（太田区）|BUCKLE KÔBÔ（太田区）|京浜島防災公園（太田区）",2017,2017,,有り,英語,無し,,なし,あり・その他画像
[2017]オーケストラコンサート,5074,東京芸術劇場,2017,2017,,無し,,有り,バリアフリー対応施設,なし,あり・チラシ画像
"第18回東京フィルメックス／TOKYO FILMeX 2017",5078,"有楽町朝日ホール|TOHOシネマズ 日劇|東京国立近代美術館フィルムセンター",2017,2017,,有り,英語,無し,,なし,あり・その他画像
アジア児童青少年舞台芸術フェスティバル2018,5081,国立オリンピック記念青少年総合センター,2017,2017,,有り,英語,無し,,なし,あり・その他画像
"フエルサ　ブルータ　WA! -Wonder Japan Experience",5083,"品川プリンスホテル - ステラボール",2017,2017,,有り,英語,無し,,なし,あり・その他画像
「プルートゥ　PLUTO」,5085,"Bunkamura - シアターコクーン",2017,2017,,有り,英語,無し,,なし,あり・その他画像
MUTEK.JP,5087,日本科学未来館(Miraikan)|渋谷WOMB,2017,2017,,有り,英語,無し,,なし,あり・その他画像
"TOKYO JAZZ WEEKEND 2017 ～みんなのジャズ～",5090,"渋谷駅 - 駅構内13番出口方面|渋谷駅ハチ公前広場|渋谷センター街|東急百貨店 - 本店 正面口特設スペース",2017,2017,,有り,英語,無し,,なし,あり・その他画像
観るひと・創るひと・製作するひとのための古典プロジェクト（仮）,5095,,2017,2017,,無し,,無し,,,
東京国際音楽祭プレ大会,5096,東京ビッグサイト（東京国際展示場）|イーストプロムナード,2017,2017,,有り,英語,無し,,なし,あり・その他画像
東京現音計画コンサート、アーカイブ,5098,"北とぴあ - つつじホール|杉並公会堂 - 小ホール",2016,2016,,有り,英語,無し,,,あり・チラシ画像|あり・その他画像
[2017]体験ワークショップ,5099,"東京芸術劇 - シンフォニースペース|東京芸術劇場 - ギャラリー 2|東京芸術劇場 - ミーティングルーム|東京芸術劇場 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,あり・チラシ画像
「東京・暗渠劇」プロジェクト,5100,,2015,,,無し,,無し,,,
[2017]ミニコンサート,5101,"東京芸術劇場 - シンフォニースペース|東京芸術劇場 - アトリウム内ステージ（中2階）|東京芸術劇場 - ギャラリー 2|東京芸術劇場 - 大ホール エントランスホール（5階）|東京芸術劇場 - オープンスペース（地下1階）",2017,2017,,無し,,有り,バリアフリー対応施設,なし,あり・チラシ画像
渋谷ズンチャカ！,5102,渋谷区各所,2017,2017,,有り,英語,無し,,なし,あり・その他画像
"まちたからフェスタ×とっておきの音楽祭 in Machida 2017",5104,,2017,2017,,無し,,無し,,,
野外×アート×まちなか　トロールの森2017,5108,都立善福寺公園|遊工房アートスペース|タスカフェ|バルタザール|ビリヤード山崎|桃四コミュニティスクール|ゆうゆう善福寺館|西荻窪周辺,2017,2017,,有り,英語,無し,,なし,あり・その他画像
"ここも東京　NISHITAMA にようこそ！－西多摩フォト聖地巡礼－",5117,"新宿文化センター - 展示室|羽村市生涯学習センターゆとろぎ - 展示室|羽村市生涯学習センターゆとろぎ - 小ホール",2017,2017,,有り,英語,無し,,なし,あり・その他画像
玉すだれ博覧会～日本人の知らないニッポンの芸能～,5122,江戸東京博物館ホール,2017,2017,,有り,英語,無し,,なし,あり・その他画像
アジアの国際共同制作プロジェクト,5124,,2016,2016,,無し,,無し,,,なし
SAP.AZNプロジェクト,5125,,2015,2016,,無し,,無し,,,なし
中野フレッシュロックフェスティバル,5128,中野区役所正面玄関前広場,2017,2017,,有り,英語,無し,,なし,あり・その他画像
こどもの城合唱団コンサート　～こどもたちからのサウンドメッセージ～,5130,"渋谷区文化総合センター大和田 - さくらホール",2017,2017,,有り,英語,無し,,なし,あり・その他画像
「エレクトロニコス・ファンタスティコス！」　～本祭Ｉ：家電雷鳴篇～,5131,"Star Rise Tower",2017,2017,,有り,英語,無し,,なし,あり・その他画像
東京カラオケまつり,5133,かめありリリオホール|文化放送メディアプラスホール|新宿区角筈区民ホール|西東京市民会館公会堂|日本消防会館（ニッショーホール）,2017,2017,,有り,,無し,,なし,あり・その他画像
シニア劇団かぶつ・かんじゅく座による東京の島巡演の旅,5141,"青ヶ島中学校|大島町開発総合センター|三宅村文化会館 - リスタホール",2017,2017,,有り,英語,無し,,なし,あり・その他画像
"Responding to Ko Murobushi",5145,"北千住BUoY|室伏鴻アーカイブカフェ Shy",2017,2017,,有り,英語,無し,,なし,あり・その他画像
新作・台湾演劇公演『同棲時間』,5148,新宿シアターモリエール,2017,2017,,有り,英語,無し,,なし,あり・その他画像
亡命中―ゲーテ・インスティトゥート・ダマスカス＠東京,5150,ゲーテ・インスティトゥート（東京ドイツ文化センター）,2017,2017,,有り,英語,無し,,なし,あり・その他画像
"国際共同製作『RE/PLAY Dance Edit』",5152,"カンボジア・プノンペン Department of Performing Arts|Power Mac Center Spotlight|吉祥寺シアター",2016,2016,,有り,英語,無し,,,あり・チラシ画像|あり・その他画像
ユーラシアンオペラ東京2018,5153,"座・高円寺 - 座・高円寺 2|スーパー・デラックス（港区）",2017,2017,,有り,英語,無し,,なし,あり・その他画像
ロワイヤル・ドゥ・リュクス　シンポジウム＆リサーチ,5157,,2017,2017,,無し,,無し,,なし,なし
雅歌,5159,,2017,2017,,無し,,無し,,なし,なし
燐光群　アジア共同プロジェクト　日本・タイ・フィリピン合作『リタイアメン』（仮題）,5160,"森下スタジオ（江東区） - 本館 C",2017,2017,,有り,英語,無し,,なし,あり・その他画像
アーティスト・サポート・プログラム,5161,,2016,2016,,有り,英語,無し,,,あり・チラシ画像|あり・その他画像
屋外収蔵,5162,江戸東京たてもの園,2016,2016,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設|点字ガイド・手話通訳・字幕ガイド等|その他の取組,なし,あり・その他画像
こどもの日イベント,5163,"江戸東京たてもの園 - 下町中通りなど|江戸東京たてもの園 - センターゾーン 高橋是清邸|江戸東京たてもの園 - 西ゾーン 吉野家（農家）|江戸東京たてもの園 - 東の広場|江戸東京たてもの園 - 東ゾーン 子宝湯|江戸東京たてもの園 - 西ゾーン 綱島家（農家）",2016,2016,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設|点字ガイド・手話通訳・字幕ガイド等|その他の取組,なし,あり・その他画像
没入体験型作品の海外展開そして新作メディアアートパフォーマンス公演,5164,"Design Museum Holon（イスラエル・ホロン市）|Post City（オーストリア・リンツ市）|WRO Media Art Biennale（ポーランド・ヴロツワフ市）|NTTインターコミュニケーション・センター|シアタートラム",2016,2016,,有り,英語|その他,無し,,,なし
七夕のつどい,5166,"江戸東京たてもの園 - 下町中通りなど|江戸東京たてもの園 - 西ゾーン 吉野家（農家）|江戸東京たてもの園 - ビジターセンター|江戸東京たてもの園 - 東ゾーン 万徳旅館|江戸東京たてもの園 - 東ゾーン 長屋門|江戸東京たてもの園 - 東ゾーン 花市生花店|江戸東京たてもの園 - 西ゾーン 綱島家（農家）|江戸東京たてもの園 - センターゾーン 会水庵|江戸東京たてもの園 - 東ゾーン 川野商店（和傘問屋）|江戸東京たてもの園 - 東ゾーン 川野商店となりの空き地",2016,2016,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設|点字ガイド・手話通訳・字幕ガイド等|その他の取組,なし,あり・その他画像
下町夕涼み,5170,"江戸東京たてもの園 - 東の広場|江戸東京たてもの園 - 下町中通りなど|江戸東京たてもの園 - 東ゾーン 子宝湯|江戸東京たてもの園 - 西ゾーン 常盤台写真場|江戸東京たてもの園 - 東ゾーン 花市生花店|江戸東京たてもの園 - 東ゾーン 武居三省堂（文具店）|江戸東京たてもの園 - 東ゾーン 村上精華堂|江戸東京たてもの園 - 東ゾーン 植村邸|江戸東京たてもの園 - 東ゾーン 川野商店（和傘問屋）|江戸東京たてもの園 - センターゾーン 西川家別邸|江戸東京たてもの園 - 東ゾーン 万徳旅館|江戸東京たてもの園 - エントランス広場|江戸東京たてもの園 - 東ゾーン 川野商店となりの空き地",2016,2016,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設|点字ガイド・手話通訳・字幕ガイド等|その他の取組,なし,あり・その他画像
体験！発見！職人さん,5171,"江戸東京たてもの園 - ビジターセンター|江戸東京たてもの園 - 東ゾーン 子宝湯|江戸東京たてもの園 - 復元建造物",2016,2016,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設|点字ガイド・手話通訳・字幕ガイド等|その他の取組,なし,あり・その他画像
"東京の音／The Sounds of Tokyo",5180,"大田区民ホール アプリコ - 小ホール|ギャラリー南製作所|清流ガーデン 澤乃井園|大田区民プラザ大ホール",2017,2017,,有り,英語,無し,,なし,あり・その他画像
"茨城県高等学校 文化連盟写真部会",5184,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
練馬区立旭丘中学校,5185,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
中央区立図工部会,5186,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
日本大学芸術学部,5188,"東京都写真美術館 - B1F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
歴文財団ティーチャーズプログラム,5189,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
東京大学,5190,"東京都写真美術館 - B1F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
公文国際学園中等部,5191,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 3F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
