id,Title,開催年度,主催
5028,振興策、施策案の精査、まとめ作業,2017,アーツカウンシル東京
5030,第１回「カンパニーデラシネラの若手プロジェクト　３年間を振り返る」,2017,アーツカウンシル東京
5031,"第２回「身体を透してみえてくるもの－更新をつづける国際ダンスフェスティバル Dance NewAir」",2017,アーツカウンシル東京
5032,"第３回「より豊かな演劇のために― 『つくり方』 から模索し続けた庭劇団ペニノの３年間」",2017,アーツカウンシル東京
5068,"鉄工島FES～運河を利用したMIXED MEDIA FES～",2017,寺田倉庫株式会社
5074,[2017]オーケストラコンサート,2017,東京都|公益財団法人東京都歴史文化財団|子どもたちと芸術家の出あう街実行委員会
5078,"第18回東京フィルメックス／TOKYO FILMeX 2017",2017,特定非営利活動法人東京フィルメックス実行委員会
5081,アジア児童青少年舞台芸術フェスティバル2018,2017,"一般社団法人TYA Japan"
5083,"フエルサ　ブルータ　WA! -Wonder Japan Experience",2017,株式会社アミューズ
5085,「プルートゥ　PLUTO」,2017,株式会社東急文化村
5087,MUTEK.JP,2017,"一般社団法人MUTEK Japan"
5090,"TOKYO JAZZ WEEKEND 2017 ～みんなのジャズ～",2017,株式会社NHKエンタープライズ
5095,観るひと・創るひと・製作するひとのための古典プロジェクト（仮）,2017,"合同会社KUNIO,Inc."
5096,東京国際音楽祭プレ大会,2017,東京国際音楽祭実行委員会
5098,東京現音計画コンサート、アーカイブ,2016,東京現音計画
5099,[2017]体験ワークショップ,2017,東京都|公益財団法人東京都歴史文化財団|子どもたちと芸術家の出あう街実行委員会
5100,「東京・暗渠劇」プロジェクト,2017,東京・暗渠劇実行委員会
5101,[2017]ミニコンサート,2017,東京都|公益財団法人東京都歴史文化財団|子どもたちと芸術家の出あう街実行委員会
5102,渋谷ズンチャカ！,2017,渋谷ズンチャカ実行委員会
5104,"まちたからフェスタ×とっておきの音楽祭 in Machida 2017",2017,一般社団法人町田青年会議所
5108,野外×アート×まちなか　トロールの森2017,2017,トロールの森実行委員会
5117,"ここも東京　NISHITAMA にようこそ！－西多摩フォト聖地巡礼－",2017,西多摩百景写真展実行委員会
5122,玉すだれ博覧会～日本人の知らないニッポンの芸能～,2017,一般社団法人大江戸玉すだれ
5124,アジアの国際共同制作プロジェクト,2016,一般社団法人チェルフィッチュ
5125,SAP.AZNプロジェクト,2016,"SAP.AZN プロジェクト"
5128,中野フレッシュロックフェスティバル,2017,中野フレッシュロックフェスティバル実行委員会
5130,こどもの城合唱団コンサート　～こどもたちからのサウンドメッセージ～,2017,特定非営利活動法人こどもの城合唱団
5131,「エレクトロニコス・ファンタスティコス！」　～本祭Ｉ：家電雷鳴篇～,2017,合同会社ヴァイナルソユーズ
5133,東京カラオケまつり,2017,東京カラオケまつり実行委員会
5141,シニア劇団かぶつ・かんじゅく座による東京の島巡演の旅,2017,"ＮＰＯ法人 シニア演劇ネットワーク"
5145,"Responding to Ko Murobushi",2017,一般社団法人Ko&amp;Edge
5148,新作・台湾演劇公演『同棲時間』,2017,亜細亜の骨
5150,亡命中―ゲーテ・インスティトゥート・ダマスカス＠東京,2017,"ゲーテ・インスティトゥート 東京ドイツ文化センター"
5152,"国際共同製作『RE/PLAY Dance Edit』",2016,"NPO法人Offsite Dance Project|RE/PLAY Dance Edit実行委員会"
5153,ユーラシアンオペラ東京2018,2017,音楽詩劇研究所
5157,ロワイヤル・ドゥ・リュクス　シンポジウム＆リサーチ,2017,株式会社パルコ
5159,雅歌,2017,"一般社団法人 マルタス○＋"
5160,燐光群　アジア共同プロジェクト　日本・タイ・フィリピン合作『リタイアメン』（仮題）,2017,（有)グッドフェローズ
5161,アーティスト・サポート・プログラム,2016,"株式会社 アーキタンツ|Dance New Air実行委員会"
5162,屋外収蔵,2016,江戸東京たてもの園
5163,こどもの日イベント,2016,江戸東京たてもの園
5164,没入体験型作品の海外展開そして新作メディアアートパフォーマンス公演,2016,GRINDER-MAN(株式会社イッカク)
5166,七夕のつどい,2016,江戸東京たてもの園
5170,下町夕涼み,2016,江戸東京たてもの園|東京都
5171,体験！発見！職人さん,2016,江戸東京たてもの園
5180,"東京の音／The Sounds of Tokyo",2017,株式会社日精ピーアール
5184,"茨城県高等学校 文化連盟写真部会",2017,東京都写真美術館
5185,練馬区立旭丘中学校,2017,東京都写真美術館
5186,中央区立図工部会,2017,東京都写真美術館
5188,日本大学芸術学部,2017,東京都写真美術館
5189,歴文財団ティーチャーズプログラム,2017,東京都写真美術館
5190,東京大学,2017,東京都写真美術館
5191,公文国際学園中等部,2017,東京都写真美術館
5192,練馬区立旭丘中学校,2017,東京都写真美術館
5193,東京造形大学,2017,東京都写真美術館
5195,東京藝術大学,2017,東京都写真美術館
5196,京都造形大学,2017,東京都写真美術館
5197,"夜間特別開園 紅葉とたてもののライトアップ",2016,江戸東京たてもの園|東京都
5200,アサクサエンターテイメンツ,2017,アサクサ実行委員会
5203,"[2017]実践講座 鑑賞",2017,東京都美術館
5204,"咲かせよう！音楽の花 1）6ヶ月～18ヶ月（2017年1月21日）",2016,東京都|東京文化会館|アーツカウンシル東京|公益財団法人立川市地域文化振興財団
5206,常設展示,2017,東京都江戸東京博物館
5207,"咲かせよう！音楽の花 2）19ヶ月～35ヶ月（2017年1月21日）",2016,東京都|東京文化会館|アーツカウンシル東京|公益財団法人立川市地域文化振興財団
5208,"""ロンドン交響楽団と日本の音楽家との協働プロジェクト　～Discovery for 2020～""",2017,ブリティッシュ・カウンシル
5210,"Music Clock 1）4歳～6歳（2017年1月21日）",2016,東京都|東京文化会館|アーツカウンシル東京|公益財団法人立川市地域文化振興財団
5211,【企画展】戦時下東京のこどもたち,2017,東京都江戸東京博物館
5212,"Music Clock 2）一般（2017年1月21日）",2016,東京都|東京文化会館|アーツカウンシル東京|公益財団法人立川市地域文化振興財団
5213,生命体テクノロジーファッション工房,2017,東京工業大学環境・社会理工学院
5214,"タネまき、タネまき、大きくなあれ！ 1）19ヶ月～35ヶ月（2017年1月22日）",2016,東京都|東京文化会館|アーツカウンシル東京|公益財団法人立川市地域文化振興財団
5215,"タネまき、タネまき、大きくなあれ！ 2）4歳～6歳（未就学児）（2017年1月22日）",2016,東京都|東京文化会館|アーツカウンシル東京|公益財団法人立川市地域文化振興財団
5216,【企画展】「発掘された日本列島2017」展,2017,文化庁|東京都江戸東京博物館|東京新聞|全国新聞社事業協議会
5217,"ムジカ・ピッコラ 1）4歳～6歳（未就学児）（2017年1月22日）",2016,東京都|東京文化会館|アーツカウンシル東京|公益財団法人立川市地域文化振興財団
5218,一橋大学大学院,2017,東京都写真美術館
5219,写真表現大学,2017,東京都写真美術館
5220,帝京科学大学,2017,東京都写真美術館
5221,NHK文化センター横浜教室,2017,東京都写真美術館
5222,"日本大学    通信教育部",2017,東京都写真美術館
5223,東京ネットウェイブ,2017,東京都写真美術館
5224,"出前授業 港区立白金の丘小学校",2017,東京都写真美術館
5225,渋谷区立加計塚小学校,2017,東京都写真美術館
5226,江戸川区立第三松江小学校,2017,東京都写真美術館
5227,筑波大付属駒場中学・高等学校,2017,東京都写真美術館
5228,渋谷区立加計塚小学校（2017年12月19日）,2017,東京都写真美術館
5229,渋谷区立加計塚小学校（2017年12月21日）,2017,東京都写真美術館
5230,渋谷区立加計塚小学校（2017年12月22日）,2017,東京都写真美術館
5231,港区立白金の丘小学校,2017,東京都写真美術館
5232,京都造形芸術大学藝術学舎,2017,東京都写真美術館
