Title,id,WEBサイトのアドレス,開催年度,主催,共催,協賛,協力,後援,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数
"【連携展】TOKYO 書 2017　公募団体の今",1285,https://www.tobikan.jp/exhibition/h28_tokyosho2017.html,2016,東京都美術館,,,産経国際書会|一般財団法人毎日書道会|読売書法会,朝日新聞社|産経新聞社|毎日新聞社|読売新聞社,12,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""9832"";s:6:""備考"";s:0:"""";}"
【コレクション展】東京都現代美術館所蔵「新東京百景─90年前の東京」,1289,https://www.tobikan.jp/exhibition/h28_collection.html,2016,東京都|東京都美術館,,,,,19,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:5:""10149"";s:6:""備考"";s:0:"""";}"
"旧岩崎邸庭園 洋館内（2016年10月22日）",1306,http://www.t-bunka.jp/old/sponsership/spo_161023_1.html,2016,東京文化会館|アーツカウンシル東京|東京都,公益財団法人東京都公園協会,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""224"";s:6:""備考"";s:0:"""";}"
入野義朗生誕95年記念コンサート,1313,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13784/,2016,"NPO法人 JML音楽研究所",,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""227"";s:6:""備考"";s:0:"""";}"
リトルトーキョー,1317,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html#tabs=tabs-3,2016,東京都現代美術館|アーツカウンシル東京|東京都,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,23,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1888"";s:6:""備考"";s:0:"""";}"
第14回東京音楽コンクール優勝者＆最高位入賞者コンサート,1320,http://www.t-bunka.jp/old/sponsership/spo_170109.html,2016,東京文化会館|読売新聞社|花王株式会社|東京都,,あいおいニッセイ同和損害保険株式会社|有馬温泉　有馬グランドホテル|株式会社コンサートサービス|サントリーホールディングス株式会社|東京地下鉄株式会社|三井住友海上火災保険株式会社|森平舞台機構株式會社,"新日本フィルハーモニー交響楽団|公益財団法人 東京交響楽団|東京シティ・フィルハーモニック管弦楽団|東京都交響楽団|東京フィルハーモニー交響楽団|公益財団法人日本フィルハーモニー交響楽団|読売日本交響楽団|東京オーケストラ事業協同組合",,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1139"";s:6:""備考"";s:0:"""";}"
【企画展】山岡鉄舟と江戸無血開城,1321,http://www.edo-tokyo-museum.or.jp/s-exhibition/project/12034/山岡鉄舟と江戸無血開城-2/,2016,東京都江戸東京博物館|東京都,,,"臨済宗 全生庵",,7,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:42:""入館者数は常設展示に含める。"";}"
"江東区深川江戸資料館、江東区芭蕉記念館、江東区立深川図書館、法苑山 浄心寺、あづま屋文具店、 田巻屋、大久保クリーニング、三河屋精米店、杉原商店、アライズ コーヒーロースターズ、fukadaso CAFE、iki ESPRESSO TOKYO、ALLPRESS ESPRESSO、mamma cafe 151A、しまぶっく、smokebooks、NOiS清澄白河",1322,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html,2016,東京都|東京都現代美術館|アーツカウンシル東京,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,各スポットにより定休日は異なる。,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
【企画展】伊藤晴雨幽霊画展,1339,http://www.edo-tokyo-museum.or.jp/s-exhibition/project/11852/伊藤晴雨-幽霊画/,2016,東京都江戸東京博物館|東京都,,,"臨済宗 全生庵|スタジオジブリ",,7,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:42:""入館者数は常設展示に含める。"";}"
"【企画展】市民からのおくりもの 2016－平成27年度 新収蔵品から－",1340,http://www.edo-tokyo-museum.or.jp/s-exhibition/project/12709/市民からのおくりもの2016－平成27年度%E3%80%80新収蔵品か/,2016,東京都江戸東京博物館|東京都,,,,,44,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:42:""入館者数は常設展示に含める。"";}"
【企画展】徳川将軍家の婚礼,1341,http://www.edo-tokyo-museum.or.jp/s-exhibition/project/10775/企画展「徳川将軍家の婚礼」/,2016,東京都江戸東京博物館|公益財団法人德川記念財団|東京都,,,,,45,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:42:""入館者数は常設展示に含める。"";}"
【企画展】戦時下東京のこどもたち,1342,http://www.edo-tokyo-museum.or.jp/s-exhibition/project/10777/企画展「戦時下東京のこどもたち」/,2016,東京都江戸東京博物館|東京都,,,,,22,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:42:""入館者数は常設展示に含める。"";}"
江東区深川江戸資料館,1361,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html#tabs=tabs-3,2016,東京都|東京都現代美術館|アーツカウンシル東京,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,36,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"Coci la elle（コシラエル本店）",1362,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html#tabs=tabs-3,2016,東京都|東京都現代美術館|アーツカウンシル東京,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,33,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"アライズ コーヒーロースターズ",1364,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html#tabs=tabs-3,2016,東京都|東京都現代美術館|アーツカウンシル東京,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,33,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
モーニングコンサートVol.98,1366,http://www.t-bunka.jp/old/sponsership/spo_160927.html,2016,東京文化会館,,上野中央通り商店会,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""608"";s:6:""備考"";s:0:"""";}"
モーニングコンサートVol.99,1367,http://www.t-bunka.jp/old/sponsership/spo_161019.html,2016,東京文化会館,,上野中央通り商店会,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""595"";s:6:""備考"";s:0:"""";}"
モーニングコンサート番外編「秋の夜コンサート」,1368,http://www.t-bunka.jp/old/sponsership/spo_161111.html,2016,東京文化会館,,上野中央通り商店会,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""568"";s:6:""備考"";s:0:"""";}"
モーニングコンサートVol.100,1369,http://www.t-bunka.jp/old/sponsership/spo_161216.html,2016,東京文化会館,,上野中央通り商店会,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""636"";s:6:""備考"";s:0:"""";}"
モーニングコンサートVol.101,1370,http://www.t-bunka.jp/old/sponsership/spo_170113.html,2016,東京文化会館,,上野中央通り商店会,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""572"";s:6:""備考"";s:0:"""";}"
モーニングコンサートVol.102,1371,http://www.t-bunka.jp/old/sponsership/spo_170214.html,2016,東京文化会館,,上野中央通り商店会,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""585"";s:6:""備考"";s:0:"""";}"
モーニングコンサートVol.103,1372,http://www.t-bunka.jp/old/sponsership/spo_170300.html,2016,東京文化会館,,上野中央通り商店会,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""586"";s:6:""備考"";s:0:"""";}"
"“げん”結び　―音楽 と 文学―",1374,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13464/,2016,“げん”結び実行委員会,,,,,6,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""142"";s:6:""備考"";s:0:"""";}"
"Half the Sky　ロック・イン・オポジション・フランス及び東京公演とワークショップ",1377,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/14239/,2016,"Half the Sky",,,,,4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1151"";s:6:""備考"";s:0:"""";}"
中村芙悠子ピアノ・リサイタル,1381,http://www.t-bunka.jp/old/sponsership/rec_160924.html,2016,中村芙悠子ピアノリサイタル実行委員会,東京文化会館,,ビクターエンターテインメント,一般社団法人全日本ピアノ指導者協会（ピティナ）,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""376"";s:6:""備考"";s:0:"""";}"
"藤原道山× SINSKE ヨーロッパツアー 2016",1382,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13275/,2016,"株式会社 MUNIQUE",,,,,6,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1485"";s:6:""備考"";s:0:"""";}"
柴田南雄生誕100年・没後20年記念演奏会,1385,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13781/,2016,"柴田南雄生誕100年・没後20年記念演奏会 実行委員会",,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1630"";s:6:""備考"";s:0:"""";}"
辺境の歌コンサート,1388,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13345/,2016,,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""180"";s:6:""備考"";s:0:"""";}"
"アンサンブル・ノマド定期演奏会 第56～58回「照らし合うもの Vol.1-3」",1390,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13341/,2016,アンサンブル・ノマド,,,,,3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""366"";s:6:""備考"";s:0:"""";}"
第26回「インターナショナル・オルガン・フェスティバル・イン・ジャパン」2016,1391,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/12929/,2016,インターナショナル・オルガン・フェスティバル・イン・ジャパン組織委員会,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""708"";s:6:""備考"";s:0:"""";}"
會田瑞樹パーカッションリサイタル2016の開催,1393,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13349/,2016,會田瑞樹パーカッションリサイタル2016実行委員会,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""142"";s:6:""備考"";s:0:"""";}"
2016年大道寺梨乃「Socialstrip」アジアツアー,1397,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13397/,2016,"大道寺 梨乃",,,,,10,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""216"";s:6:""備考"";s:0:"""";}"
"+51 アビアシオン、サンボルハ　パリ公演",1401,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13283/,2016,岡崎藝術座,,,,,5,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""554"";s:6:""備考"";s:0:"""";}"
"ARICA ・インド「ワークショップ・ショーイング」国際プロジェクト",1403,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13041/,2016,ARICA,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""91"";s:6:""備考"";s:0:"""";}"
サンプル「離陸」台湾公演,1407,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13337/,2016,サンプル,,,,,3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""364"";s:6:""備考"";s:0:"""";}"
"シアター風姿花伝 若手支援事業 プロミシングカンパニー　「カクシンハン」",1409,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13332/,2016,シアター風姿花伝,,,,,50,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""3409"";s:6:""備考"";s:0:"""";}"
gift_＋ＡＳ（フェロー・プロジェクト）,1435,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html#tabs=tabs-3,2016,東京都|東京都現代美術館|アーツカウンシル東京,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:2:""15"";}"
吉増剛造プロジェクト「水の音句会ライブ」,1437,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html#tabs=tabs-2,2016,東京都|東京都現代美術館|アーツカウンシル東京,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:2:""40"";}"
カニエ・ナハ＋大原大次郎「深川の漣ツアー」,1439,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html#tabs=tabs-2,2016,東京都|東京都現代美術館|アーツカウンシル東京,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:2:""15"";}"
吉増剛造「深川ポラ・ワークショップ」,1449,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html#tabs=tabs-3,2016,東京都|東京都現代美術館|アーツカウンシル東京,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:2:""13"";}"
カニエ・ナハ「詩と本のワークショップ」,1452,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html#tabs=tabs-3,2016,東京都|東京都現代美術館|アーツカウンシル東京,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:1:""8"";}"
remo［NPO法人記録とメディアのための組織］「読み歩きクルーズ　あの日の“あとを追う”―記録すること、残すこと―」,1459,http://www.mot-art-museum.jp/edu/cruise.html,2016,東京都|東京都現代美術館|アーツカウンシル東京,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:2:""18"";}"
参加作家による連続トーク,1460,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html#tabs=tabs-3,2016,東京都|東京都現代美術館|アーツカウンシル東京,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:29:""12名 / 30名 / 15名 / 60名"";}"
MOTサテライト・クルーズ,1462,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html#tabs=tabs-3,2016,東京都|東京都現代美術館|アーツカウンシル東京,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,11,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:13:""のべ1083人"";}"
"アートト（フェロー・プロジェクト）「MOTサテライト アーカイ部 公開フォーラム」",1463,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html#tabs=tabs-3,2016,東京都|東京都現代美術館|アーツカウンシル東京,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:14:""20名／ 20名"";}"
新聞家新作公演『帰る』,1465,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13262/,2016,新聞家,,,,,5,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""108"";s:6:""備考"";s:0:"""";}"
劇団銅鑼「あやなす」セルビア・クロアチア公演＋ワークショップ,1468,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13186/,2016,有限会社劇団銅鑼,,,,,,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1526"";s:6:""備考"";s:0:"""";}"
