Title,id,WEBサイトのアドレス,開催年度,主催,共催,協賛,協力,後援,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数
教材開発,4680,,2017,東京都|アーツカウンシル東京|NPO法人インビジブル,,,"株式会社テレビ朝日|森ビル株式会社|みやちよう|スターバックス・コーヒー TSUTAYA TOKYO ROPPONGI店|MEDIA AMBITION TOKYO|港区立笄小学校",,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
PR,4681,,2017,東京都|アーツカウンシル東京|NPO法人インビジブル,,,"株式会社テレビ朝日|森ビル株式会社|みやちよう|スターバックス・コーヒー TSUTAYA TOKYO ROPPONGI店|MEDIA AMBITION TOKYO|港区立笄小学校",,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"Relight Symposium",4682,https://www.artscouncil-tokyo.jp/ja/events/24041/,2017,東京都|アーツカウンシル東京|NPO法人インビジブル,,,"株式会社テレビ朝日|森ビル株式会社|みやちよう|スターバックス・コーヒー TSUTAYA TOKYO ROPPONGI店|MEDIA AMBITION TOKYO|港区立笄小学校",,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""69"";s:6:""備考"";s:0:"""";}"
東京都立八王子特別支援学校,4684,,2016,東京文化会館,,,,,4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""125"";s:6:""備考"";s:0:"""";}"
[2017]あいうえのファミリー（こどもと家族のプログラム）,4687,,2017,東京都美術館,,,,,18,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1144"";s:6:""備考"";s:0:"""";}"
"R.I.P.TOKYO はじまる",4688,https://www.artscouncil-tokyo.jp/ja/events/19104/,2017,東京都|アーツカウンシル東京|一般社団法人指輪ホテル,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""13"";s:6:""備考"";s:0:"""";}"
"R.I.P.TOKYO はなまる",4692,https://www.artscouncil-tokyo.jp/ja/events/20117/,2017,東京都|アーツカウンシル東京|一般社団法人指輪ホテル,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:1:""8"";s:6:""備考"";s:0:"""";}"
"R.I.P.TOKYO みとれる",4695,https://www.artscouncil-tokyo.jp/ja/events/20699/,2017,東京都|アーツカウンシル東京|一般社団法人指輪ホテル,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""15"";s:6:""備考"";s:0:"""";}"
"R.I.P.TOKYO はぐれる",4697,,2017,東京都|アーツカウンシル東京|一般社団法人指輪ホテル,,,,,,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""15"";s:6:""備考"";s:0:"""";}"
"R.I.P.TOKYO きこえる",4699,https://www.artscouncil-tokyo.jp/ja/events/21605/,2017,東京都|アーツカウンシル東京|一般社団法人指輪ホテル,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""15"";s:6:""備考"";s:0:"""";}"
