Title,id,WEBサイトのアドレス,開催年度,"単日/複数日 - 期間",開催時間,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数,主催,共催,協賛,協力,後援,期間_date,期間_date_to,単日/複数日_date
"邦楽聖会公演 No19",1799,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13391/,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""142"";s:6:""備考"";s:0:"""";}","福田 輝久",,,,,20161028
水曜コンサート,1800,http://www.geigeki.jp/performance/event138/,2016,単日/複数日,,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""12:00:00"";s:7:""time_to"";s:8:""13:00:00"";s:10:""time_bikou"";s:0:"""";}}}",4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都|東京芸術劇場|毎日新聞社,,東京ガス株式会社,,,"20160406,20160413,20160420,20160511,20160601,20160608,20160615,20160622,20160713,20160720,20160907,20160914,20160928,20161012,20161019,20161026"
"第30回 現代邦楽作曲家連盟作品演奏会",1801,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13264/,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""259"";s:6:""備考"";s:0:"""";}",現代邦楽作曲家連盟,,,,,20170217
"第13回 ユネスコ記念能",1802,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13373/,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1089"";s:6:""備考"";s:0:"""";}","公益社団法人 能楽協会",,,,,20160930
さくらこまち和楽団・イタリア公演2016,1804,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13789/,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",7,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1364"";s:6:""備考"";s:0:"""";}","一般社団法人 日本伝統芸術国際交流協会",,,,,"20160512,20160514,20160517,20160519,20160524"
"邦楽展28　koto Collection Today",1805,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13268/,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""102"";s:6:""備考"";s:0:"""";}","吉村 七重",,,,,20160629
代々木果迢会別会「一之輔落語×竹灯籠能『菊慈童』」,1807,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13777/,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""355"";s:6:""備考"";s:0:"""";}",代々木果迢会,,,,,20161119
"OSMOSIS Fest",1809,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13088/,2016,期間,20160801,20170331,"a:1:{s:4:""time"";b:0;}",8,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""700"";s:6:""備考"";s:0:"""";}","Interdisciplinary Art Festival Tokyo",,,,,
舞台芸術制作者オープンネットワーク（ON-PAM）による創造環境整備事業,1817,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13234/,2016,期間,20160401,20170331,"a:1:{s:4:""time"";b:0;}",10,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1013"";s:6:""備考"";s:0:"""";}","NPO法人 舞台芸術制作者オープンネットワーク",,,,,
スロームーブメント豊洲公演,1820,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13330/,2016,期間,20170121,20170122,"a:1:{s:4:""time"";b:0;}",3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""635"";s:6:""備考"";s:0:"""";}",スロームーブメント実行委員会,,,,,
"河崎 純　音楽詩劇公演プロジェクト",1822,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13279/,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",5,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""344"";s:6:""備考"";s:0:"""";}","河崎 純 音楽詩劇プロジェクト",,,,,"20161006,20161010,20161011,20161012"
サウンド・ライブ・トーキョー,1829,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13238/,2016,期間,20160911,20160923,"a:1:{s:4:""time"";b:0;}",8,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""804"";s:6:""備考"";s:0:"""";}","定非営利活動法人 国際舞台芸術交流センター",,,,,
"伶楽舎 第十三回雅楽演奏会 ～武満徹「秋庭歌一具」",1835,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13287/,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""997"";s:6:""備考"";s:0:"""";}","一般社団法人 伶楽舎",,,,,20161130
《障害の家》プロジェクト,1836,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13387/,2016,期間,20160318,20160331,"a:1:{s:4:""time"";b:0;}",14,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""371"";s:6:""備考"";s:0:"""";}",《障害の家》プロジェクト,,,,,
"10月1日 臨時開催",1856,,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""16"";s:6:""備考"";s:0:"""";}",東京都|東京都美術館|アーツカウンシル東京|東京藝術大学,上野の森美術館|恩賜上野動物園|国立科学博物館|国立国会図書館国際子ども図書館|国立西洋美術館|東京国立博物館|東京文化会館,,,,20161001
11月20日「あいうえの特別企画」にて実施,1858,,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""113"";s:6:""備考"";s:0:"""";}",東京都|東京都美術館|アーツカウンシル東京|東京藝術大学,上野の森美術館|恩賜上野動物園|国立科学博物館|国立国会図書館国際子ども図書館|国立西洋美術館|東京国立博物館|東京文化会館,,,,20161120
あいうえの　temp,1859,,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都|東京都美術館|アーツカウンシル東京|東京藝術大学,上野の森美術館|恩賜上野動物園|国立科学博物館|国立国会図書館国際子ども図書館|国立西洋美術館|東京国立博物館|東京文化会館,,,,20160724
"カルチュラル・タイフーン 2016「それを感じられるか？」Can You Feel It ？ ― グローバル化する都市への文化的介入",1860,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13384/,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1450"";s:6:""備考"";s:0:"""";}","カルチュラル・タイフーン2016 実行委員会",,,,,"20160702,20160703"
10月15日,1861,,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""92"";s:6:""備考"";s:0:"""";}",東京都|東京都美術館|アーツカウンシル東京|東京藝術大学,上野の森美術館|恩賜上野動物園|国立科学博物館|国立国会図書館国際子ども図書館|国立西洋美術館|東京国立博物館|東京文化会館,,,,20161015
"10月15日 臨時開催",1862,,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""14"";s:6:""備考"";s:0:"""";}",東京都|東京都美術館|アーツカウンシル東京|東京藝術大学,上野の森美術館|恩賜上野動物園|国立科学博物館|国立国会図書館国際子ども図書館|国立西洋美術館|東京国立博物館|東京文化会館,,,,20161015
"11月19日 臨時開催",1864,,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""11"";s:6:""備考"";s:0:"""";}",東京都|東京都美術館|アーツカウンシル東京|東京藝術大学,上野の森美術館|恩賜上野動物園|国立科学博物館|国立国会図書館国際子ども図書館|国立西洋美術館|東京国立博物館|東京文化会館,,,,20161119
11月19日「あいうえの特別企画」にて実施,1865,,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""65"";s:6:""備考"";s:0:"""";}",東京都|東京都美術館|アーツカウンシル東京|東京藝術大学,上野の森美術館|恩賜上野動物園|国立科学博物館|国立国会図書館国際子ども図書館|国立西洋美術館|東京国立博物館|東京文化会館,,,,20161119
2月18日,1866,,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""77"";s:6:""備考"";s:0:"""";}",東京都|東京都美術館|アーツカウンシル東京|東京藝術大学,上野の森美術館|恩賜上野動物園|国立科学博物館|国立国会図書館国際子ども図書館|国立西洋美術館|東京国立博物館|東京文化会館,,,,20170218
建築模型を語る――日本の建築家10人が考える建築模型のこれから,1868,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13377/,2016,期間,20160928,20170329,"a:1:{s:4:""time"";b:0;}","10 ","a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""981"";s:6:""備考"";s:0:"""";}",一般社団法人日本建築文化保存協会,,,,,
ようこそ！お囃子の世界へ　三ッ目囃,1870,,2016,単日/複数日,,,"a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""11:00:00"";s:7:""time_to"";s:8:""11:30:00"";s:10:""time_bikou"";s:0:"""";}i:1;a:3:{s:9:""time_from"";s:8:""12:00:00"";s:7:""time_to"";s:8:""12:30:00"";s:10:""time_bikou"";s:0:"""";}}}",2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""200"";s:6:""備考"";s:0:"""";}","アーツカウンシル東京|八王子市|公益財団法人 八王子市学園都市文化ふれあい財団",,,"東京都|安榮山明王院 福傳寺|岡崎屋惣次郎|人力屋坂福|染色工房藤本染工芸|中町町会（八王子市）|八王子三業組合|八王子繊維貿易館|八幡八雲神社|本町連合町会（八王子市）",町田市|あきる野市|あきる野市教育委員会|八王子市町会自治会連合会|八王子商工会議所|公益社団法人八王子観光協会|八王子市商店会連合会|西放射線ユーロード|東京工科大学|東京造形大学,20161126
“桐”と“竹”音色七色,1872,,2016,単日/複数日,,,"a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""13:00:00"";s:7:""time_to"";s:8:""13:30:00"";s:10:""time_bikou"";s:24:""小林千恵子（箏）"";}i:1;a:3:{s:9:""time_from"";s:8:""13:30:00"";s:7:""time_to"";s:8:""14:00:00"";s:10:""time_bikou"";s:24:""香川良子（篠笛）"";}}}",2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""120"";s:6:""備考"";s:0:"""";}","アーツカウンシル東京|八王子市|公益財団法人 八王子市学園都市文化ふれあい財団",,,"東京都|安榮山明王院 福傳寺|岡崎屋惣次郎|人力屋坂福|染色工房藤本染工芸|中町町会（八王子市）|八王子三業組合|八王子繊維貿易館|八幡八雲神社|本町連合町会（八王子市）",町田市|あきる野市|あきる野市教育委員会|八王子市町会自治会連合会|八王子商工会議所|公益社団法人八王子観光協会|八王子市商店会連合会|西放射線ユーロード|東京工科大学|東京造形大学,20161126
八王子芸妓衆の華と粋,1873,,2016,単日/複数日,,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""14:30:00"";s:7:""time_to"";s:8:""15:00:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""160"";s:6:""備考"";s:0:"""";}","アーツカウンシル東京|八王子市|公益財団法人 八王子市学園都市文化ふれあい財団",,,"東京都|安榮山明王院 福傳寺|岡崎屋惣次郎|人力屋坂福|染色工房藤本染工芸|中町町会（八王子市）|八王子三業組合|八王子繊維貿易館|八幡八雲神社|本町連合町会（八王子市）",町田市|あきる野市|あきる野市教育委員会|八王子市町会自治会連合会|八王子商工会議所|公益社団法人八王子観光協会|八王子市商店会連合会|西放射線ユーロード|東京工科大学|東京造形大学,20161126
地芝居を楽しむ！秋川歌舞伎,1874,,2016,単日/複数日,,,"a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""12:30:00"";s:7:""time_to"";s:8:""13:00:00"";s:10:""time_bikou"";s:0:"""";}i:1;a:3:{s:9:""time_from"";s:8:""14:30:00"";s:7:""time_to"";s:8:""15:00:00"";s:10:""time_bikou"";s:0:"""";}}}",2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""430"";s:6:""備考"";s:0:"""";}","アーツカウンシル東京|八王子市|公益財団法人 八王子市学園都市文化ふれあい財団",,,"東京都|安榮山明王院 福傳寺|岡崎屋惣次郎|人力屋坂福|染色工房藤本染工芸|中町町会（八王子市）|八王子三業組合|八王子繊維貿易館|八幡八雲神社|本町連合町会（八王子市）",町田市|あきる野市|あきる野市教育委員会|八王子市町会自治会連合会|八王子商工会議所|公益社団法人八王子観光協会|八王子市商店会連合会|西放射線ユーロード|東京工科大学|東京造形大学,20161126
ちょっと小粋にまちめぐり！人力車・昭和レトロ探し,1876,,2016,単日/複数日,,,"a:1:{s:4:""time"";a:4:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:8:""10:30:00"";s:10:""time_bikou"";s:0:"""";}i:1;a:3:{s:9:""time_from"";s:8:""10:30:00"";s:7:""time_to"";s:8:""11:00:00"";s:10:""time_bikou"";s:0:"""";}i:2;a:3:{s:9:""time_from"";s:8:""14:30:00"";s:7:""time_to"";s:8:""15:00:00"";s:10:""time_bikou"";s:0:"""";}i:3;a:3:{s:9:""time_from"";s:8:""15:30:00"";s:7:""time_to"";s:8:""16:00:00"";s:10:""time_bikou"";s:0:"""";}}}",4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""40"";s:6:""備考"";s:0:"""";}","アーツカウンシル東京|八王子市|公益財団法人 八王子市学園都市文化ふれあい財団",,,"東京都|安榮山明王院 福傳寺|岡崎屋惣次郎|人力屋坂福|染色工房藤本染工芸|中町町会（八王子市）|八王子三業組合|八王子繊維貿易館|八幡八雲神社|本町連合町会（八王子市）",町田市|あきる野市|あきる野市教育委員会|八王子市町会自治会連合会|八王子商工会議所|公益社団法人八王子観光協会|八王子市商店会連合会|西放射線ユーロード|東京工科大学|東京造形大学,20161126
"Worldwide：Japan Project",1877,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13272/,2016,期間,20160706,20170331,"a:1:{s:4:""time"";b:0;}",2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""3300"";s:6:""備考"";s:0:"""";}","株式会社 シャ・ラ・ラ・カンパニー",,,,,
北とぴあ国際音楽祭2016参加公演「リゲティのホルン・トリオをめぐって」,1882,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/15412/,2016,単日/複数日,,,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""182"";s:6:""備考"";s:0:"""";}",北とぴあリゲティ・プロジェクト実行委員会,,,,,20161106
ミュージック・フロム・ジャパン2017年音楽祭,1884,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/15646/,2016,期間,20170214,20170221,"a:1:{s:4:""time"";b:0;}",4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""392"";s:6:""備考"";s:0:"""";}",ミュージック・フロム・ジャパン推進実行委,,,,,
"栗コーダー＆フレンズ　アジア６カ国 ミュージック＆アート　共同制作プロジェクト",1888,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/15596/,2016,期間,20161018,20170207,"a:1:{s:4:""time"";b:0;}",16,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""2414"";s:6:""備考"";s:0:"""";}",栗コーダーカルテット,,,,,
"inc. ‒ artist incubation project 2017",1897,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/16007/,2016,期間,20170331,20170402,"a:1:{s:4:""time"";b:0;}",,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""179"";s:6:""備考"";s:0:"""";}","Kuniko Kato arts project",,,,,
"Tokyo Cantat 2017",1899,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/16001/,2017,期間,20170429,20170506,"a:1:{s:4:""time"";b:0;}",8,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""6684"";s:6:""備考"";s:0:"""";}","21世紀の合唱を考える会 合唱人集団「音楽樹」",,,,,
"Attack On Dance WorldTour 2016",1905,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/16011/,2016,期間,20161001,20161002,"a:1:{s:4:""time"";b:0;}",2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""272"";s:6:""備考"";s:0:"""";}",冨士山アネット,,,,,
マクベス（仮）,1907,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/15675/,2016,期間,20170210,20170212,"a:1:{s:4:""time"";b:0;}",3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1508"";s:6:""備考"";s:0:"""";}",劇団子供鉅人,,,,,
"あやめ十八番 第七回公演「霓裳羽衣」",1909,,2016,期間,20161217,20161221,"a:1:{s:4:""time"";b:0;}",8,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1320"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,,,
シティⅢ,1910,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/15721/,2017,期間,20170401,20170402,"a:1:{s:4:""time"";b:0;}",,"a:4:{s:15:""number_mokuhyou"";s:1:""4"";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""250"";s:6:""備考"";s:0:"""";}","sons wo:",,,,,
現代カナダ演劇・最新作連続公演「エレファント・ソング」,1912,,2016,期間,20170317,20170326,"a:1:{s:4:""time"";b:0;}",10,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""691"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,,,
「CATFISH」,1914,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/15630/,2016,期間,20170215,20170217,"a:1:{s:4:""time"";b:0;}",9,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""324"";s:6:""備考"";s:0:"""";}",快快,,,,,
「アトレウス」（仮題）,1916,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/15634/,2016,期間,20170209,20170213,"a:1:{s:4:""time"";b:0;}",7,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""906"";s:6:""備考"";s:0:"""";}","演劇集団 砂地",,,,,
花園プロジェクト「花園RED／花園BLUE」,1917,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/15664/,2016,期間,20170119,20170129,"a:1:{s:4:""time"";b:0;}",14,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1184"";s:6:""備考"";s:0:"""";}",20歳の国,,,,,
国際共同制作　第１弾　日本xマレーシア　『ファミリー』,1919,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/15668/,2016,期間,20161216,20161218,"a:1:{s:4:""time"";b:0;}",,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""277"";s:6:""備考"";s:0:"""";}",アジア女性舞台芸術会議実行委員会,,,,,
結城座×鄭義信「ドールズタウン」,1921,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/15592/,2016,期間,20170115,20170122,"a:1:{s:4:""time"";b:0;}",8,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""812"";s:6:""備考"";s:0:"""";}","公益財団法人 江戸糸あやつり人形 結城座",,,,,
"Ｃｏ . 山田うん　エストニア公演ツアー",1923,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/29405/,2016,期間,20160427,20160509,"a:1:{s:4:""time"";b:0;}",,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""812"";s:6:""備考"";s:0:"""";}","一般社団法人 Co.山田うん",,,,,
"OrganWorks アレコレ2「Triple Bill」",1927,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/15706/,2016,期間,20170203,20170204,"a:1:{s:4:""time"";b:0;}",3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""332"";s:6:""備考"";s:0:"""";}",OrganWorks,,,,,
"C/Ompany 主催公演「忘れろ／ボレロ」",1929,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/15702/,2016,期間,20161110,20161112,"a:1:{s:4:""time"";b:0;}",3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""679"";s:6:""備考"";s:0:"""";}",C/Ompany,,,,,
花粉革命,1931,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/15717/,2016,期間,20160505,20160507,"a:1:{s:4:""time"";b:0;}",3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""526"";s:6:""備考"";s:0:"""";}",一般社団法人天使館,,,,,
"「YEBIZO MEETS」Ⅰ 特別セッション",1978,https://www.yebizo.com/jp/program/detail/10-01,2016,単日/複数日,20170210,20170226,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""17:00:00"";s:7:""time_to"";s:8:""18:00:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170211
"東京都写真美術館 3F, 2F, B1F展示室",1980,https://www.yebizo.com/assets/img/uploads/2016/12/others/ud/161209_Yebizo_press.pdf,2016,期間,20170210,20170226,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:8:""20:00:00"";s:10:""time_bikou"";s:20:""最終日18:00まで"";}}}",15,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都|東京都写真美術館|アーツカウンシル東京|日本経済新聞社,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",
フェスティバル会場・オールアラウンドガイドツアー,1981,https://www.yebizo.com/jp/program/detail/11-01,2016,単日/複数日,20170210,20170226,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都|東京都写真美術館|アーツカウンシル東京|日本経済新聞社,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM","20170218,20170226"
