Title,id,WEBサイトのアドレス,開催年度,"単日/複数日 - 期間",開催時間,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数,主催,共催,協賛,協力,後援,期間_date,期間_date_to,単日/複数日_date
アート・コミュニケータ養成,4503,,2017,期間,,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""132"";s:6:""備考"";s:0:"""";}",東京都美術館,,,,,20170401,20180331
第7期とびラー2次面接,4504,,2017,単日/複数日,"20180309,20180310,20180311","a:1:{s:4:""time"";b:0;}",3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:2:""43"";}",東京都美術館,,,,,,
基礎講座,4505,,2017,単日/複数日,"20170415,20170428,20170513,20170527,20170610,20170624,20170708","a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:8:""15:00:00"";s:10:""time_bikou"";s:0:"""";}}}",20,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""466"";s:6:""備考"";s:0:"""";}",東京都美術館,,,,,,
"実践講座 アクセス",4507,,2017,単日/複数日,"20170702,20170709,20170917,20171001,20171022,20171203,20180218","a:1:{s:4:""time"";b:0;}",8,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""456"";s:6:""備考"";s:0:"""";}",東京都美術館,,,,,,
"B.［コラボラティヴ・カタロギング・ジャパン（CCJ）共催企画］ 国際連携シンポジウム タイムベースド・メディアの収集保存 ―― ニューヨーク近代美術館、アンソロジー・フィルム・ アーカイヴス、東京都写真美術館の事例から",4508,https://www.yebizo.com/jp/program/detail/2018-05-02,2017,単日/複数日,20180210,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都|アーツカウンシル東京|日本経済新聞社,サッポロ不動産開発株式会社|公益財団法人日仏会館|コラボラティヴ・カタロギング・ジャパン,"全日本空輸株式会社|ゲーテ・インスティトゥート 東京ドイツ文化センター|サッポロビール株式会社|東京都写真美術館支援会員",アンスティチュ・フランセ日本−ヴィラ九条山|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社ロボット,"オーストラリア大使館|オランダ王国大使館|カナダ大使館|タイ王国大使館|ミャンマー連邦共和国大使館|ＴＢＳ|J-WAVE 81.3FM",,
"C.［日仏会館共催企画］ 映像のヴィジブル／インヴィジブル ――8K映像の可能性",4509,https://www.yebizo.com/jp/program/detail/2018-05-03,2017,単日/複数日,20180215,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都|アーツカウンシル東京|日本経済新聞社,サッポロ不動産開発株式会社|公益財団法人日仏会館,"全日本空輸株式会社|ゲーテ・インスティトゥート 東京ドイツ文化センター|サッポロビール株式会社|東京都写真美術館支援会員",アンスティチュ・フランセ日本−ヴィラ九条山|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社ロボット,"オーストラリア大使館|オランダ王国大使館|カナダ大使館|タイ王国大使館|ミャンマー連邦共和国大使館|ＴＢＳ|J-WAVE 81.3FM",,
ドラゴンの人形,4510,,2016,単日/複数日,20170305,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:30:00"";s:7:""time_to"";s:8:""12:00:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",参加・体験・感動！ふれあいこどもまつり実行委員会|日本児童・青少年演劇劇団協同組合（児演協）|公益社団法人日本児童青少年演劇協会|特定非営利活動法人日本青少年音楽芸能協会|一般社団法人全国専門人形劇団協議会|特定非営利活動法人子ども劇場東京都協議会|東京都|公益財団法人東京都歴史文化財団,公益財団法人立川市地域文化振興財団|特定非営利活動法人立川子ども劇場,,,立川市|立川市教育委員会,,
"実践講座 建築",4511,,2017,単日/複数日,"20170722,20170729,20170826,20171007,20171209,20180210,20180217","a:1:{s:4:""time"";b:0;}",9,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""250"";s:6:""備考"";s:0:"""";}",東京都美術館,,,,,,
まいごのこねこ,4512,,2016,単日/複数日,20170305,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""11:00:00"";s:7:""time_to"";s:8:""12:00:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",参加・体験・感動！ふれあいこどもまつり実行委員会|日本児童・青少年演劇劇団協同組合（児演協）|公益社団法人日本児童青少年演劇協会|特定非営利活動法人日本青少年音楽芸能協会|一般社団法人全国専門人形劇団協議会|特定非営利活動法人子ども劇場東京都協議会|東京都|公益財団法人東京都歴史文化財団,公益財団法人立川市地域文化振興財団|特定非営利活動法人立川子ども劇場,,,立川市|立川市教育委員会,,
"I. mamoru ライヴ・パフォーマンス：あり得た（る）かもしれないその歴史を聴き取ろうとし続けるある種の長い旅路、特に日本人やオランダ人その他もろもろに関して",4514,https://www.yebizo.com/jp/program/detail/2018-08-01,2017,単日/複数日,20180223,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都|アーツカウンシル東京|日本経済新聞社,サッポロ不動産開発株式会社|公益財団法人日仏会館,"全日本空輸株式会社|ゲーテ・インスティトゥート 東京ドイツ文化センター|サッポロビール株式会社|東京都写真美術館支援会員",アンスティチュ・フランセ日本−ヴィラ九条山|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社ロボット,"オーストラリア大使館|オランダ王国大使館|カナダ大使館|タイ王国大使館|ミャンマー連邦共和国大使館|ＴＢＳ|J-WAVE 81.3FM",,
