id,Title,決算額_year,決算額_price
2555,"【特別展】  ボストン美術館の至宝展──東西の名品、珠玉のコレクション",2017,
2557,"【特別展】  ゴッホ展 巡りゆく日本の夢",2017,
2569,茶室活用,2017,
2571,"【特別展】  ブリューゲル展 画家一族 150年の系譜","2017,2018",","
2605,ミュージアムラボを拠点とする教育普及事業,2016,
2606,博物館ボランティア,2016,
2608,映像・音響関連施設の運営,2016,
2614,【江戸東京博物館】図書室等の運営,2016,
2615,子供のための伝統文化・芸能体験事業,2016,
2673,"【企画展】  杉戸洋 とんぼ と のりしろ",,
2674,"【企画展】  杉戸洋 とんぼ と のりしろ",2017,
2676,"【コレクション展】東京都現代美術館所蔵 近代の写実展",2017,
2680,東京大茶会2017,,
2696,アート・コミュニケーション事業基盤整備事業,2016,
2702,パフォーマンスキッズ・トーキョー,2016,
2704,【公募展活性化事業】上野アーティストプロジェクト「現代の写実──映像を超えて」,2017,
2737,"【公募展活性化事業】  第6回 都美セレクション グループ展",2017,
2752,学校と文化施設をつなぐ「ティーチャーズプログラム2016」,2016,
2762,"舞台芸術創造事業 夏目漱石生誕150年記念・国際共同制作 オペラ「Four Nights of Dream」（日本初演）",2017,
2773,"東京文化会館 オペラＢＯＸ「Help!Help!グロボリンクスだ!～エイリアン襲来!!～」",2017,
2775,【2017】【企画展示】並河靖之七宝展　明治七宝の誘惑―透明な黒の感性,2017,
2776,創遊・楽落らいぶ－音楽家と落語家のコラボレーション－,2017,
2785,《響の森》コンサート,2017,
2794,"【企画展示】装飾は流転する　Decoration never dies, anyway",2017,
2795,【2017】子供のための伝統文化・芸能体験事業,2017,
2797,[2017]アート・コミュニケーション事業,2017,
2802,舞台芸術創造事業「兵士の物語」,2016,
2805,"ミュージック・プログラム・トーキョーMusic　EducationProgram アウトリーチ・ワークショップ（ミュージック・ワークショップ）",2016,
2836,"【企画展示】アール・デコ・リヴァイヴァル 鹿島茂コレクション　フランス絵本の世界","2017,2018",","
2846,【2017】ワークショップ等,2017,
2849,上野deクラシック,2017,
2864,"【東京アートポイント計画】Art Bridge Institute",2016,
2867,第15回東京音楽コンクール,2017,
2876,第15回東京音楽コンクール優勝者コンサート,2017,
2878,東京音楽コンクール入賞者支援リサイタル,2017,
2883,夏休み子供音楽会2017《上野の森文化探検》,2017,
2885,公開リハーサル,2017,
2887,"【2017】東京文化会館 バックステージツアー",2017,
2893,ティータイムコンサート,2017,
2900,ナイト・ミニ・コンサート,2017,
2902,"【2017】ミュージック・プログラム・トーキョー「Enjoy Concerts!」",2017,
2934,"【2017】ミュージック・プログラム・トーキョーMusic EducationProgram「Workshop Workshop!～国際連携企画～」",2017,
3057,"ミュージック・プログラム・トーキョーMusic EducationProgram オペラをつくろう",2016,
3063,【東京アートポイント計画】トッピングイースト,2016,
3126,"[2017]ワンダーシード2018関連企画ワークショップ  種から咲かそう！ワンダーフラワー",2017,
3128,ワンダーシード2018,2017,
3132,"オープン・スタジオ 2017-2018",2017,
3195,"ミュージック・プログラム・トーキョー Music EducationProgram Talk & lesson",2016,
3212,【2017】外国人向け伝統文化・芸能　短時間体験プログラム,2017,
3224,"ミュージック・プログラム・トーキョーMusic EducationProgram 東京オーケストラ事業協同組合共催事業 特別支援学校コンサート",2016,
3225,"【2017】ミュージック・プログラム・トーキョー Music EducationProgram Talk & lesson",2017,
3227,"【2017】ミュージック・プログラム・トーキョーMusic EducationProgram オペラをつくろう",2017,
3232,"[2017]渋谷自在 ―無限、あるいは自己の領域",2017,
3240,"【2017】ミュージック・プログラム・トーキョーMusic EducationProgram アウトリーチ・コンサート",2017,
3244,"[2017]TWS渋谷 クロージング・イベント",2017,
3292,"【2017】ミュージック・プログラム・トーキョーMusic EducationProgram  アウトリーチ・ワークショップ（クリニック）",2017,
3297,"【2017】ミュージック・プログラム・トーキョーMusic EducationProgram  アウトリーチ・ワークショップ（ミュージック・ワークショップ）",2017,
3299,"MOTサテライト 2017秋 むすぶ風景",2017,
3317,"トーキョーワンダーサイト レジデンス2016-2017",2017,
3389,"“Born Creative” Festival 2017",2017,
3400,[2017]海外オーケストラシリーズ,2017,
3402,外国人向け伝統文化・芸能　短時間体験プログラム,2016,
3444,外国人向け伝統文化・芸能　体験・鑑賞プログラム,,
3452,庭園公開,2017,
3454,【東京アートポイント計画】TERATOTERA,,
3456,ウェルカムルームの運営,2017,
3458,"【収蔵展】総合開館20周年記念事業 夜明けまえ 知られざる日本写真開拓史 総集編","2016,2017",","
3461,"【収蔵展】総合開館20周年記念事業 山崎博　計画と偶然","2016,2017",","
3463,"【収蔵展】総合開館20周年記念事業 TOPコレクション いま、ここにいる― 平成をスクロールする 春期",2017,
